Flip-flops are a type of sandal, typically worn as a form of casual wear.	人字拖是一种凉鞋，通常是一种休闲服饰。
A paper clip could be installed in a Commodore 1541 disk-drive as a flexible head-stop.	回纹针可以安装在 Commodore 1541 磁碟机中，当成具有弹性的磁头停杆。
A paper clip can be used (unsafely) to temporarily bridge a blown fuse.	回纹针可以暂时用来衔接熔断丝 (但并不安全)。
The steel wire from a paperclip can be used in dentistry to form a dental post.	牙科可以使用回纹针的金属线来做成牙钉。
Paper clips can be bent into a crude but sometimes effective lock picking device.	回纹针可以弯折成简陋但有时候还挺有用的开锁工具。
Some types of handcuffs can be unfastened using paper clips.	有些类型的手铐可以用回纹针解开。
There are two approaches.	解锁方法有两种。
The first one is to unfold the clip in a line and then twist the end in a right angle, trying to imitate a key and using it to lift the lock fixator.	第一种是先将回纹针扳直成一条线，然后将一端扭成适合的折角，用来仿照钥匙将锁头的固定榫撬开。
The second approach, which is more feasible but needs some practice, is to use the semi-unfolded clip kink for lifting when the clip is inserted through the hole where the handcuffs are closed.	第二种方法较为可行，但需要多练习个几次，那就是将展开一半的回纹针插入手铐闭锁处的孔隙，然后试着将它撬开。
A paper clip image is the standard image for an attachment in an email client.	回纹针图案是在电子邮件客户端用来表示附件的标准图案。
In 1994, the US imposed anti-dumping tariffs against China, on paper clips.	1994 年，美国针对从中国进口的回纹针课征反倾销关税。
The Band-Aid was invented in 1920 by a Johnson & Johnson employee, Earle Dickson in Highland Park, New Jersey for his wife Josephine, who frequently cut and burned herself while cooking.	Band-Aid OK 绷是由娇生公司 (Johnson & Johnson) 的员工于 1920 年所发明。这位员工是住在纽泽西州高地公园的 Earle Dickson，他为了经常在煮饭时切到或烫到自己的妻子 Josephine 发明了这项产品。
The prototype allowed her to dress her wounds without assistance.	这款 OK 绷的原型能够让她自行处理自己的伤口。
Dickson passed the idea on to his employer, which went on to produce and market the product as the Band-Aid.	Dickson 将这个点子递交给他的主管，随后就进行量产，并以 Band-Aid 做为产品名称在市场上贩售。
Dickson had a successful career at Johnson & Johnson, rising to vice president before his retirement in 1957.	Dickson 在娇生公司的职涯一帆风顺，于 1957 年退休之前晋升为副总裁。
Perhaps a curiosity, the word "Band" in German means tape.	补充一个小知识，「Band」这个字在德文中有「胶带」之意。
The original Band-Aids were handmade and not very popular.	原版的 Band-Aid OK 绷是以手工制成，在当时并未受到欢迎。
By 1924, Johnson & Johnson introduced machine-made Band-Aids and began the sale of sterilized Band-Aids in 1939.	到了 1924 年，娇生公司推出由机器制成的 Band-Aid OK 绷，并于 1939 年开始销售无菌版 OK 绷。
In 1951, the first decorative Band-Aids were introduced.	1951 年，第一款具有图案装饰的 Band-Aid OK 绷正式问世。
They continue to be a commercial success, with such themes as Mickey Mouse, Donald Duck, Oliver & Jenny, Superman, Spider-Man, Rocket Power, Rugrats, smiley faces, Barbie, Dora the Explorer, Batman and Duck Dynasty.	这类 OK 绷的销售业绩持续长红，相继推出米老鼠、唐老鸭、《奥丽华历险记》(Oliver & Jenny)、超人、蜘蛛人、《火箭动力》(Rocket Power)、《淘气小兵兵》(Rugrats)、笑脸图案、芭比娃娃、《爱探险的朵拉》(Dora the Explorer)、蝙蝠侠和《鸭子王朝》(Duck Dynasty) 等联名主题款式。
In World War II, millions were shipped overseas, helping popularize the product.	在二次大战期间，有上百万片 OK 绷被运送到海外，助长了这项产品的销售人气。
Since then, Johnson & Johnson currently has estimated a sale of over 100 billion Band-Aids worldwide.	自此之后，据娇生公司估算，目前 Band-Aid OK 绷已经在全球销售超过千亿片。
Johnson & Johnson continues to defend the Band-Aid trademark against it being genericized.	娇生公司至今持续力守 Band-Aid 这个商标，不让它成为通用名称。
Band-Aid arguably has, over time, become a genericized trademark in the United States, and a generic term cannot function as a trademark; but Johnson & Johnson has registered Band-Aid as a trademark on the Principal Register of the United States Patent and Trademark Office, and the registration is valid and legal.	「Band-Aid」一词随着时间的推移，至今可说是美国境内的通用商标，成为不具有专用商标资格的通俗名称。但娇生公司其实已经在美国专利商标局的主要注册簿上将 Band-Aid 注册为专用商标，而且该项注册至今仍有效且合法。
A registration on the Principal Register does not create ownership rights under the laws of the United States, and a registration may be challenged and removed if the challenger proves as a matter of fact that the alleged trademark has become generic.	根据美国的相关法律规范，在主要注册簿上注册商标并不等同于具有该商标的所有权。如果有人对某个注册商标提出异议，并提供事实证明该商标已经成为通用名称，则该注册商标有可能会遭到质疑或移除。
To protect the name, their trademark, Johnson & Johnson always refers to its products as "BAND-AID® Brand Adhesive Bandages", not just "Band-Aid".	娇生公司为保护自身商标权益，一律将这项产品称为「BAND-AID® 牌黏性绷带」，而非只是「Band-Aid」。
