Flip-flops are a type of sandal, typically worn as a form of casual wear.	人字拖是一種涼鞋，通常是一種休閒服飾。
Various smartphones require the use of a long thin object such as a paper clip to eject the SIM card and some Palm PDAs advise the use of a paper clip to reset the device.	有各式各樣的智慧型手機需要使用如迴紋針般的細長的物件來退出 SIM 卡，也有些 Palm PDA 裝置會建議使用迴紋針來重新設定裝置。
The track ball can be removed from early Logitech pointing devices using a paper clip as the key to the bezel.	早期的羅技滑鼠裝置會使用迴紋針來打開檔板，藉此取出軌跡球。
A paper clip bent into a "U" can be used to start an ATX PSU without connecting it to a motherboard (connect the green to a black on the motherboard header).	彎折成「U」字形的迴紋針可以用來在未實際連接到主機板的狀況下開啟 ATX PSU (將綠線連接到主機板接頭的黑線)。
One or more paper clips can make a loopback device for a RS232 interface (or indeed many interfaces).	單枚或多枚迴紋針可以用來製作適用於 RS232 介面 (或是其他諸多介面) 的迴環裝置。
A paper clip could be installed in a Commodore 1541 disk-drive as a flexible head-stop.	迴紋針可以安裝在 Commodore 1541 磁碟機中，當成具有彈性的磁頭停桿。
A paper clip can be used (unsafely) to temporarily bridge a blown fuse.	迴紋針可以暫時用來銜接熔斷絲 (但並不安全)。
The steel wire from a paperclip can be used in dentistry to form a dental post.	牙科可以使用迴紋針的金屬線來做成牙釘。
Paper clips can be bent into a crude but sometimes effective lock picking device.	迴紋針可以彎折成簡陋但有時候還挺有用的開鎖工具。
Some types of handcuffs can be unfastened using paper clips.	有些類型的手銬可以用迴紋針解開。
There are two approaches.	解鎖方法有兩種。
The first one is to unfold the clip in a line and then twist the end in a right angle, trying to imitate a key and using it to lift the lock fixator.	第一種是先將迴紋針扳直成一條線，然後將一端扭成適合的折角，用來仿照鑰匙將鎖頭的固定榫撬開。
The second approach, which is more feasible but needs some practice, is to use the semi-unfolded clip kink for lifting when the clip is inserted through the hole where the handcuffs are closed.	第二種方法較為可行，但需要多練習個幾次，那就是將展開一半的迴紋針插入手銬閉鎖處的孔隙，然後試著將它撬開。
A paper clip image is the standard image for an attachment in an email client.	迴紋針圖案是在電子郵件客戶端用來表示附件的標準圖案。
In 1994, the US imposed anti-dumping tariffs against China, on paper clips.	1994 年，美國針對從中國進口的迴紋針課徵反傾銷關稅。
The Band-Aid was invented in 1920 by a Johnson & Johnson employee, Earle Dickson in Highland Park, New Jersey for his wife Josephine, who frequently cut and burned herself while cooking.	Band-Aid OK 繃是由嬌生公司 (Johnson & Johnson) 的員工於 1920 年所發明。這位員工是住在紐澤西州高地公園的 Earle Dickson，他為了經常在煮飯時切到或燙到自己的妻子 Josephine 發明了這項產品。
The prototype allowed her to dress her wounds without assistance.	這款 OK 繃的原型能夠讓她自行處理自己的傷口。
Dickson passed the idea on to his employer, which went on to produce and market the product as the Band-Aid.	Dickson 將這個點子遞交給他的主管，隨後就進行量產，並以 Band-Aid 做為產品名稱在市場上販售。
Dickson had a successful career at Johnson & Johnson, rising to vice president before his retirement in 1957.	Dickson 在嬌生公司的職涯一帆風順，於 1957 年退休之前晉升為副總裁。
Perhaps a curiosity, the word "Band" in German means tape.	補充一個小知識，「Band」這個字在德文中有「膠帶」之意。
The original Band-Aids were handmade and not very popular.	原版的 Band-Aid OK 繃是以手工製成，在當時並未受到歡迎。
By 1924, Johnson & Johnson introduced machine-made Band-Aids and began the sale of sterilized Band-Aids in 1939.	到了 1924 年，嬌生公司推出由機器製成的 Band-Aid OK 繃，並於 1939 年開始銷售無菌版 OK 繃。
In 1951, the first decorative Band-Aids were introduced.	1951 年，第一款具有圖案裝飾的 Band-Aid OK 繃正式問世。
They continue to be a commercial success, with such themes as Mickey Mouse, Donald Duck, Oliver & Jenny, Superman, Spider-Man, Rocket Power, Rugrats, smiley faces, Barbie, Dora the Explorer, Batman and Duck Dynasty.	這類 OK 繃的銷售業績持續長紅，相繼推出米老鼠、唐老鴨、《奧麗華歷險記》(Oliver & Jenny)、超人、蜘蛛人、《火箭動力》(Rocket Power)、《淘氣小兵兵》(Rugrats)、笑臉圖案、芭比娃娃、《愛探險的朵拉》(Dora the Explorer)、蝙蝠俠和《鴨子王朝》(Duck Dynasty) 等聯名主題款式。
In World War II, millions were shipped overseas, helping popularize the product.	在二次大戰期間，有上百萬片 OK 繃被運送到海外，助長了這項產品的銷售人氣。
Since then, Johnson & Johnson currently has estimated a sale of over 100 billion Band-Aids worldwide.	自此之後，據嬌生公司估算，目前 Band-Aid OK 繃已經在全球銷售超過千億片。
Johnson & Johnson continues to defend the Band-Aid trademark against it being genericized.	嬌生公司至今持續力守 Band-Aid 這個商標，不讓它成為通用名稱。
Band-Aid arguably has, over time, become a genericized trademark in the United States, and a generic term cannot function as a trademark; but Johnson & Johnson has registered Band-Aid as a trademark on the Principal Register of the United States Patent and Trademark Office, and the registration is valid and legal.	「Band-Aid」一詞隨著時間的推移，至今可說是美國境內的通用商標，成為不具有專用商標資格的通俗名稱。但嬌生公司其實已經在美國專利商標局的主要註冊簿上將 Band-Aid 註冊為專用商標，而且該項註冊至今仍有效且合法。
A registration on the Principal Register does not create ownership rights under the laws of the United States, and a registration may be challenged and removed if the challenger proves as a matter of fact that the alleged trademark has become generic.	根據美國的相關法律規範，在主要註冊簿上註冊商標並不等同於具有該商標的所有權。如果有人對某個註冊商標提出異議，並提供事實證明該商標已經成為通用名稱，則該註冊商標有可能會遭到質疑或移除。
To protect the name, their trademark, Johnson & Johnson always refers to its products as "BAND-AID® Brand Adhesive Bandages", not just "Band-Aid".	嬌生公司為保護自身商標權益，一律將這項產品稱為「BAND-AID® 牌黏性繃帶」，而非只是「Band-Aid」。
