Flip-flops are a type of sandal, typically worn as a form of casual wear.	人字拖是一种凉鞋，尤其用于休闲穿搭。
The second approach, which is more feasible but needs some practice, is to use the semi-unfolded clip kink for lifting when the clip is inserted through the hole where the handcuffs are closed.	第二种方法更加可行但需要练习，具体方法是把半展开的回形针插入锁好的手铐中抬起内部结构。
A paper clip image is the standard image for an attachment in an email client.	回形针图像是邮件附件中的标准图像。
In 1994, the US imposed anti-dumping tariffs against China, on paper clips.	1994 年，美国对中国的回形针强制收取反倾销关税。
The Band-Aid was invented in 1920 by a Johnson & Johnson employee, Earle Dickson in Highland Park, New Jersey for his wife Josephine, who frequently cut and burned herself while cooking.	1920 年，强生公司的一名员工厄尔·迪克森在新泽西州海兰帕克市发明了创可贴，缘由是妻子约瑟芬做饭时经常割伤和烫伤自己。
The prototype allowed her to dress her wounds without assistance.	这款最初的创可贴可以让她在没有人帮助的情况下包扎伤口。
Dickson passed the idea on to his employer, which went on to produce and market the product as the Band-Aid.	迪克森把这一思路带到公司，强生公司于是生产了这种产品并以“Band-Aid（创可贴）”的命名进行销售。
Dickson had a successful career at Johnson & Johnson, rising to vice president before his retirement in 1957.	迪克森在强生的事业很成功，1957 年退休前干到了副总裁的位置。
Perhaps a curiosity, the word "Band" in German means tape.	怕有人好奇，此处解释一下，“Band”在德语中是“绷带”的意思。
The original Band-Aids were handmade and not very popular.	最初的创可贴是手工制作的，买的人并不多。
By 1924, Johnson & Johnson introduced machine-made Band-Aids and began the sale of sterilized Band-Aids in 1939.	到 1924 年，强生公司开始推出机器制作的创可贴； 1939 年，强生开始销售消毒创可贴。
In 1951, the first decorative Band-Aids were introduced.	1951 年，第一款装饰创可贴面世。
They continue to be a commercial success, with such themes as Mickey Mouse, Donald Duck, Oliver & Jenny, Superman, Spider-Man, Rocket Power, Rugrats, smiley faces, Barbie, Dora the Explorer, Batman and Duck Dynasty.	这一类创可贴也在市场上大获成功，有米奇老鼠、唐老鸭、奥利弗和珍妮、超人、蜘蛛侠、火箭动力、淘气小兵兵、笑脸、芭比娃娃、爱探险的朵拉、蝙蝠侠、鸭子王朝等主题。
In World War II, millions were shipped overseas, helping popularize the product.	二战期间，数以百万的创可贴被运到国外，帮助推广了这一产品。
Since then, Johnson & Johnson currently has estimated a sale of over 100 billion Band-Aids worldwide.	自那时起，强生迄今在全球销售的创可贴估计已经超过 1000 亿张。
Johnson & Johnson continues to defend the Band-Aid trademark against it being genericized.	强生公司一直维护 “Band-Aid”这个商标名，反对将其通用化。
Band-Aid arguably has, over time, become a genericized trademark in the United States, and a generic term cannot function as a trademark; but Johnson & Johnson has registered Band-Aid as a trademark on the Principal Register of the United States Patent and Trademark Office, and the registration is valid and legal.	随着时间的推移，“Band-Aid”可以说已经成为美国的通用商标，而通用名称是不能用作商标的。然而，强生公司已经在美国专利商标局的主薄注册了“Band-Aid”商标，注册是合法有效的。
A registration on the Principal Register does not create ownership rights under the laws of the United States, and a registration may be challenged and removed if the challenger proves as a matter of fact that the alleged trademark has become generic.	根据美国法律，在主薄上注册并不会产生所有权，如果有人提出要注销某注册商标，并在事实上证明其指称的商标已经成为通用商标，则该注册商标有可能会被注销。
To protect the name, their trademark, Johnson & Johnson always refers to its products as "BAND-AID® Brand Adhesive Bandages", not just "Band-Aid".	 为了维护这个品牌名，即他们的商标，强生一直以"BAND-AID® Brand Adhesive Bandages"指代这种产品， 而非仅仅叫"Band-Aid"。
