3루	3 루
필통	필 통
구타	구 타
염복	염 복
비명	비 명
폐하	폐 하
드릴	드 릴
전디다	전 디 다
이슬람국가	이 슬 람 국 가
肉德	肉 德
사르다	사 르 다
출전	출 전
넘기다	넘 기 다
인물사전	인 물 사 전
북아프리카	북 아 프 리 카
장로	장 로
밥집	밥 집
자랑스럽다	자 랑 스 럽 다
근절하다	근 절 하 다
에피소드	에 피 소 드
노이로제	노 이 로 제
굴러가다	굴 러 가 다
ㄵ	ㄵ
주사	주 사
부드럽다	부 드 럽 다
화신	화 신
하리코프	하 리 코 프
䰶	䰶
케이터링	케 이 터 링
기증자	기 증 자
어우르다	어 우 르 다
腦裏	腦 裏
鎤	鎤
과하다	과 하 다
카바졸	카 바 졸
모래상자	모 래 상 자
성지	성 지
鬪爭	鬪 爭
모란	모 란
평가하다	평 가 하 다
앙골라	앙 골 라
㐋	㐋
공화국	공 화 국
음소문자	음 소 문 자
경성	경 성
썸팅	썸 팅
죽부인	죽 부 인
매콤하다	매 콤 하 다
쟁반	쟁 반
공범	공 범
스타디움	스 타 디 움
영서	영 서
攄得	攄 得
굼지럭	굼 지 럭
칡	칡
학대	학 대
서류철	서 류 철
부업	부 업
-이까	- 이 까
굶주림	굶 주 림
요셉	요 셉
반다르세리베가완	반 다 르 세 리 베 가 완
취하다	취 하 다
뚝뚝하다	뚝 뚝 하 다
당연히	당 연 히
고리	고 리
야행차	야 행 차
연적	연 적
금수저	금 수 저
야기하다	야 기 하 다
방목하다	방 목 하 다
㱷	㱷
옹근	옹 근
승리자	승 리 자
잠재력	잠 재 력
막다	막 다
노름	노 름
사마귀	사 마 귀
숙	숙
六曹	六 曹
목면	목 면
산유화	산 유 화
금병매	금 병 매
반화석	반 화 석
양력	양 력
고금	고 금
아몬드	아 몬 드
변절	변 절
아무르산개구리	아 무 르 산 개 구 리
八色鳥	八 色 鳥
두드러기	두 드 러 기
까맣다	까 맣 다
십	십
수레	수 레
매화	매 화
용하다	용 하 다
불닭	불 닭
병아	병 아
않다	않 다
억누르다	억 누 르 다
해산물	해 산 물
반동	반 동
양성자	양 성 자
고투	고 투
何如間	何 如 間
빙고	빙 고
저금	저 금
고랑내	고 랑 내
칭찬	칭 찬
오리너구리	오 리 너 구 리
구마	구 마
베달	베 달
오르가슴	오 르 가 슴
세르비아어	세 르 비 아 어
쌍기역	쌍 기 역
흑해	흑 해
접경	접 경
베다	베 다
봄나물	봄 나 물
녜	녜
자유지상주의	자 유 지 상 주 의
우렁이	우 렁 이
벌하다	벌 하 다
잎새버섯	잎 새 버 섯
벌주다	벌 주 다
캄차카	캄 차 카
薔薇水	薔 薇 水
翾	翾
음탕하다	음 탕 하 다
-갰-	- 갰 -
그림버티개	그 림 버 티 개
안후이	안 후 이
핵반응	핵 반 응
電話番號	電 話 番 號
쿠알라룸푸르	쿠 알 라 룸 푸 르
비암	비 암
계시판	계 시 판
반려	반 려
가찹다	가 찹 다
관대하다	관 대 하 다
급습	급 습
토치	토 치
소꿉동무	소 꿉 동 무
캡슐	캡 슐
왕관비둘기	왕 관 비 둘 기
매다	매 다
차단하다	차 단 하 다
쿠바	쿠 바
필적학	필 적 학
정판	정 판
운동선수	운 동 선 수
청신	청 신
인격	인 격
세미콜론	세 미 콜 론
돼지갈비	돼 지 갈 비
원장	원 장
다우존스	다 우 존 스
재래	재 래
완전히	완 전 히
이슬라마바드	이 슬 라 마 바 드
후견인	후 견 인
가타카나	가 타 카 나
얼다	얼 다
압록자그사니	압 록 자 그 사 니
퍼지다	퍼 지 다
원자력발전소	원 자 력 발 전 소
십팔	십 팔
서로	서 로
오롯하다	오 롯 하 다
참새피	참 새 피
막힘없다	막 힘 없 다
대장장이	대 장 장 이
북측	북 측
까마귀	까 마 귀
-마동	- 마 동
브로맨스	브 로 맨 스
추잡하다	추 잡 하 다
골동품	골 동 품
기슭	기 슭
벗기다	벗 기 다
PC통신	P C 통 신
가문비나무	가 문 비 나 무
빤스런	빤 스 런
대취타	대 취 타
걸리다	걸 리 다
물망초	물 망 초
백설	백 설
우도	우 도
率先垂範	率 先 垂 範
備蓄	備 蓄
일확천금	일 확 천 금
목격되다	목 격 되 다
오페레타	오 페 레 타
連動	連 動
氷菓	氷 菓
-슈	- 슈
네다섯	네 다 섯
쏠리다	쏠 리 다
개구리매	개 구 리 매
콜론	콜 론
아르메니아어	아 르 메 니 아 어
밀랍	밀 랍
뼈대	뼈 대
미성	미 성
부카티니	부 카 티 니
함경도	함 경 도
수수	수 수
느낌	느 낌
날다	날 다
我田引水	我 田 引 水
다행감	다 행 감
미용사	미 용 사
플러쉬	플 러 쉬
촉각	촉 각
동북아	동 북 아
들어가다	들 어 가 다
인가	인 가
-까정	- 까 정
자유롭다	자 유 롭 다
온공일	온 공 일
덜컹이다	덜 컹 이 다
물고기	물 고 기
저력	저 력
단정하다	단 정 하 다
해협	해 협
식인종	식 인 종
후두	후 두
老衰	老 衰
톈안먼	톈 안 먼
주기	주 기
소방수	소 방 수
폭소	폭 소
수리공	수 리 공
교인	교 인
푸석	푸 석
사닥다리	사 닥 다 리
파자마	파 자 마
어름치	어 름 치
암기하다	암 기 하 다
넢다	넢 다
괴롭히다	괴 롭 히 다
인절미	인 절 미
치어리딩	치 어 리 딩
赤血球	赤 血 球
해다	해 다
율	율
방동사니	방 동 사 니
안녕하다	안 녕 하 다
심사숙고	심 사 숙 고
유리기	유 리 기
불란서어	불 란 서 어
검스	검 스
열한째	열 한 째
지중해	지 중 해
끔뻑	끔 뻑
보드	보 드
폭풍우	폭 풍 우
살모사	살 모 사
부아소리	부 아 소 리
유약	유 약
생물체	생 물 체
파시즘	파 시 즘
고별	고 별
알칼리	알 칼 리
각혈	각 혈
말똥구리	말 똥 구 리
프런트	프 런 트
따라가다	따 라 가 다
팀부	팀 부
붙잡다	붙 잡 다
망초	망 초
보신탕	보 신 탕
아첨꾼	아 첨 꾼
벌거벗다	벌 거 벗 다
삼나라	삼 나 라
재미없다	재 미 없 다
성게	성 게
일구이언	일 구 이 언
묵직하다	묵 직 하 다
대영제국	대 영 제 국
䭜	䭜
중력	중 력
栮	栮
두덩	두 덩
부등식	부 등 식
거릿모테이	거 릿 모 테 이
본조	본 조
공휴	공 휴
기만되다	기 만 되 다
윤년	윤 년
설교자	설 교 자
우펀국	우 펀 국
쌍방	쌍 방
버클륨	버 클 륨
이진수	이 진 수
접때	접 때
없애다	없 애 다
레코더	레 코 더
검댕	검 댕
통지	통 지
샤워	샤 워
피리다진	피 리 다 진
검정색	검 정 색
돌잡이	돌 잡 이
헌사	헌 사
一品料理	一 品 料 理
顈	顈
카공족	카 공 족
말다툼	말 다 툼
베도라치	베 도 라 치
확실	확 실
궁민	궁 민
손주	손 주
곱사	곱 사
紙匣	紙 匣
유민	유 민
각설	각 설
삼림	삼 림
창조적	창 조 적
어지럽다	어 지 럽 다
돌격하다	돌 격 하 다
떡국	떡 국
밀당	밀 당
개집	개 집
생크림	생 크 림
-쓰	- 쓰
확성기	확 성 기
수도권	수 도 권
엽록소	엽 록 소
먹어요	먹 어 요
숨통	숨 통
옷장	옷 장
料金	料 金
오스트랄리아	오 스 트 랄 리 아
더미	더 미
민족사회주의	민 족 사 회 주 의
사학자	사 학 자
칠성장어	칠 성 장 어
기생물	기 생 물
파출소	파 출 소
둑중개	둑 중 개
어떠하다	어 떠 하 다
취조	취 조
금하다	금 하 다
유두	유 두
-답다	- 답 다
ㅄ	ㅄ
흰동가리	흰 동 가 리
원산	원 산
창작물	창 작 물
된장찌개	된 장 찌 개
성립되다	성 립 되 다
술기운	술 기 운
펜테인	펜 테 인
세모꼴	세 모 꼴
법적	법 적
펠리컨	펠 리 컨
대학원생	대 학 원 생
集中力	集 中 力
한동안	한 동 안
취흥	취 흥
논제	논 제
쿨쿨	쿨 쿨
삯	삯
폐경기	폐 경 기
물메기	물 메 기
배암	배 암
어엿하다	어 엿 하 다
조이스틱	조 이 스 틱
갱도	갱 도
사사오입	사 사 오 입
망각	망 각
故鄕	故 鄕
㑡	㑡
꿩의밥	꿩 의 밥
-디	- 디
따지다	따 지 다
비판하다	비 판 하 다
진열장	진 열 장
과식	과 식
밤샘	밤 샘
더듬이다리	더 듬 이 다 리
千年紀	千 年 紀
압생트	압 생 트
-어요	- 어 요
遊泳	遊 泳
뻔쩍뻔쩍	뻔 쩍 뻔 쩍
줄몰개	줄 몰 개
입장권	입 장 권
창공	창 공
부룬디	부 룬 디
수력	수 력
폭뢰	폭 뢰
가강수량	가 강 수 량
放送社	放 送 社
동음이의어	동 음 이 의 어
모독	모 독
항복	항 복
전자공학	전 자 공 학
이단	이 단
노르웨이어	노 르 웨 이 어
갈기	갈 기
거북	거 북
랭장고	랭 장 고
회교도	회 교 도
출산	출 산
屈曲位	屈 曲 位
겨누다	겨 누 다
편경	편 경
천황	천 황
匪賊	匪 賊
맡기다	맡 기 다
여위다	여 위 다
견본	견 본
불로불사	불 로 불 사
週期律表	週 期 律 表
생기다	생 기 다
단감자	단 감 자
양성애	양 성 애
아마	아 마
이륙	이 륙
격언	격 언
해성	해 성
락다운	락 다 운
서왕모	서 왕 모
巼	巼
코주부원숭이	코 주 부 원 숭 이
예취기	예 취 기
물박달나무	물 박 달 나 무
자국	자 국
도시	도 시
특별하다	특 별 하 다
容疑者	容 疑 者
배드민턴	배 드 민 턴
향참외	향 참 외
빠그르르	빠 그 르 르
탄화	탄 화
뼈해장국	뼈 해 장 국
로획	로 획
나조	나 조
까물까물	까 물 까 물
부정적분	부 정 적 분
別別	別 別
그윽하다	그 윽 하 다
시짱	시 짱
여배우	여 배 우
게르만	게 르 만
거치적거리다	거 치 적 거 리 다
컨베이어	컨 베 이 어
과로사	과 로 사
학생회관	학 생 회 관
독물	독 물
얼룩말	얼 룩 말
놀이	놀 이
숙취	숙 취
쿵후	쿵 후
행리	행 리
토착	토 착
과시하다	과 시 하 다
知能	知 能
나토	나 토
축복하다	축 복 하 다
이런저런	이 런 저 런
붉은솔개	붉 은 솔 개
傍接圓	傍 接 圓
열애하다	열 애 하 다
죄수	죄 수
감소	감 소
례	례
채석장	채 석 장
침착하다	침 착 하 다
해설하다	해 설 하 다
청진기	청 진 기
조촐하다	조 촐 하 다
가나다순	가 나 다 순
최애	최 애
개회식	개 회 식
동정녀	동 정 녀
줄임말	줄 임 말
말갛다	말 갛 다
성신	성 신
오밤	오 밤
와싹	와 싹
춘우	춘 우
持株	持 株
돌고래	돌 고 래
앞서다	앞 서 다
민물가마우지	민 물 가 마 우 지
녘	녘
고뱅이	고 뱅 이
찬란하다	찬 란 하 다
옥황상제	옥 황 상 제
제육	제 육
도야지	도 야 지
집채	집 채
시체	시 체
싸움터	싸 움 터
동자개	동 자 개
似而非	似 而 非
그믐	그 믐
멸시	멸 시
쓰레받기	쓰 레 받 기
가락지빵	가 락 지 빵
瑎	瑎
노보시비르스크	노 보 시 비 르 스 크
쉬리	쉬 리
조산사	조 산 사
代理者	代 理 者
계기비행	계 기 비 행
비자나무	비 자 나 무
말하기	말 하 기
위령제	위 령 제
예다	예 다
아프리카	아 프 리 카
고리짝	고 리 짝
洬	洬
돌팔이	돌 팔 이
라파스	라 파 스
만	만
연정	연 정
破談	破 談
설거지	설 거 지
조선반도	조 선 반 도
승학연	승 학 연
빛	빛
복수형	복 수 형
샤쯔	샤 쯔
오랑우탄	오 랑 우 탄
문화재	문 화 재
縱的	縱 的
과일	과 일
濠洲	濠 洲
꽃가루	꽃 가 루
경입자	경 입 자
-래요	- 래 요
타당	타 당
노처녀	노 처 녀
초인종	초 인 종
홍위병	홍 위 병
달다	달 다
로키	로 키
길경	길 경
음용수	음 용 수
명조체	명 조 체
철인	철 인
돌마자	돌 마 자
맨들다	맨 들 다
마리우폴	마 리 우 폴
相性	相 性
엎디리다	엎 디 리 다
칼납자루	칼 납 자 루
-시니까	- 시 니 까
만엽집	만 엽 집
감파르다	감 파 르 다
작살	작 살
푸실리	푸 실 리
테레비	테 레 비
모욕	모 욕
앎	앎
筽	筽
갈밭쥐	갈 밭 쥐
현재시제	현 재 시 제
모형	모 형
기쁘다	기 쁘 다
곱이곱이	곱 이 곱 이
흘러가다	흘 러 가 다
배교	배 교
백그라운드	백 그 라 운 드
브라질리아	브 라 질 리 아
冠形詞	冠 形 詞
빨찌산	빨 찌 산
동명인	동 명 인
병살	병 살
-간	- 간
시대정신	시 대 정 신
여단	여 단
지정되다	지 정 되 다
상완삼두근	상 완 삼 두 근
찹쌀	찹 쌀
죽이다	죽 이 다
필적	필 적
투영기	투 영 기
사향	사 향
적당하다	적 당 하 다
-더	- 더
렴	렴
향항	향 항
보약	보 약
곤난	곤 난
바로잡다	바 로 잡 다
쏴	쏴
이르쿠츠크	이 르 쿠 츠 크
성함	성 함
관습	관 습
숙청	숙 청
迲	迲
포르토프랭스	포 르 토 프 랭 스
옥좌	옥 좌
꼬마향고래	꼬 마 향 고 래
경영하다	경 영 하 다
저널리스트	저 널 리 스 트
우사	우 사
형무소	형 무 소
감쇠기	감 쇠 기
뇽새	뇽 새
시나이	시 나 이
자잘하다	자 잘 하 다
글라이더	글 라 이 더
마침표	마 침 표
양파	양 파
우두커니	우 두 커 니
乺	乺
백야	백 야
샐러드	샐 러 드
꽁무니	꽁 무 니
참붕어	참 붕 어
거두다	거 두 다
황학루	황 학 루
처신하다	처 신 하 다
저울	저 울
넓이	넓 이
비닐류	비 닐 류
복음서	복 음 서
변론가	변 론 가
와타시	와 타 시
삼매	삼 매
부츠	부 츠
피라미	피 라 미
저지하다	저 지 하 다
홀스터	홀 스 터
막창자	막 창 자
테러범	테 러 범
주리다	주 리 다
밤빵	밤 빵
䥹	䥹
씹다	씹 다
砂果	砂 果
타협하다	타 협 하 다
舷窓	舷 窓
어귀	어 귀
설악산	설 악 산
삽입곡	삽 입 곡
기념품	기 념 품
순박	순 박
모스크	모 스 크
-더랫-	- 더 랫 -
부끄리다	부 끄 리 다
퍅	퍅
피넨	피 넨
심정	심 정
특이하다	특 이 하 다
ㅑ	ㅑ
순무	순 무
칠하다	칠 하 다
광물	광 물
교가	교 가
가락점	가 락 점
支援者	支 援 者
조언하다	조 언 하 다
장독	장 독
숫처녀	숫 처 녀
배우	배 우
한류	한 류
와싹와싹	와 싹 와 싹
작용하다	작 용 하 다
배기관	배 기 관
마스다	마 스 다
미꾸리	미 꾸 리
꿀빨기새	꿀 빨 기 새
탱커	탱 커
自鳴琴	自 鳴 琴
분교	분 교
색채	색 채
가무이야기	가 무 이 야 기
팔목	팔 목
안습	안 습
폴란드	폴 란 드
남사친	남 사 친
무두붉나무	무 두 붉 나 무
봉분	봉 분
사격	사 격
공습	공 습
조종하다	조 종 하 다
유충	유 충
광란	광 란
외야수	외 야 수
팔십	팔 십
각선미	각 선 미
단검	단 검
㔛	㔛
닝샤	닝 샤
임대하다	임 대 하 다
물꿩	물 꿩
도망자	도 망 자
북조선	북 조 선
조피볼락	조 피 볼 락
식물	식 물
눈총	눈 총
아리새	아 리 새
도륙되다	도 륙 되 다
衙婢	衙 婢
중고기	중 고 기
恭遜	恭 遜
회개	회 개
뢴트겐	뢴 트 겐
사랑채	사 랑 채
논밭	논 밭
종가시나무	종 가 시 나 무
곰실곰실	곰 실 곰 실
들치기	들 치 기
朱色	朱 色
漣痕	漣 痕
아련	아 련
번체	번 체
공경	공 경
피읖	피 읖
속수무책	속 수 무 책
목말	목 말
그렇다	그 렇 다
잔인	잔 인
나전	나 전
가련하다	가 련 하 다
김장	김 장
코이	코 이
잎꼭지	잎 꼭 지
입방체	입 방 체
햇언나	햇 언 나
참모장	참 모 장
신부님	신 부 님
서약하다	서 약 하 다
아이오와	아 이 오 와
㥙	㥙
사법	사 법
ᄯᅳ겁다	ᄯ ᅳ 겁 다
중천	중 천
영포자	영 포 자
덕택	덕 택
-ㄴ다	- ㄴ 다
립자	립 자
大衆交通	大 衆 交 通
지붕케	지 붕 케
李箱	李 箱
훌리건	훌 리 건
맺음말	맺 음 말
뒷북	뒷 북
두꺼비	두 꺼 비
락타	락 타
여객	여 객
대동강	대 동 강
생쥐	생 쥐
위풍당당하다	위 풍 당 당 하 다
약력	약 력
기록하다	기 록 하 다
가제따	가 제 따
모이다	모 이 다
데려가다	데 려 가 다
鏶	鏶
우비다	우 비 다
에어컨디셔너	에 어 컨 디 셔 너
마렵다	마 렵 다
둏다	둏 다
보안사	보 안 사
장서	장 서
그女	그 女
스트리머	스 트 리 머
워썩	워 썩
약품	약 품
케더링	케 더 링
흐릿하다	흐 릿 하 다
위원	위 원
마괘	마 괘
앉을배이	앉 을 배 이
아방궁	아 방 궁
범아귀	범 아 귀
송편	송 편
위험하다	위 험 하 다
버썩버썩	버 썩 버 썩
kijul	k i j u l
모태솔로	모 태 솔 로
받치다	받 치 다
헛기다리다	헛 기 다 리 다
밝히다	밝 히 다
회자	회 자
혜택	혜 택
썬글라스	썬 글 라 스
㐐	㐐
프랑스인	프 랑 스 인
셤	셤
목도	목 도
비축	비 축
남동생	남 동 생
품목	품 목
뀌매다	뀌 매 다
탈출하다	탈 출 하 다
곱	곱
피	피
주다	주 다
폭격	폭 격
강철	강 철
납자루	납 자 루
흑사병	흑 사 병
버텅아래	버 텅 아 래
유청	유 청
전위	전 위
답습하다	답 습 하 다
개렵다	개 렵 다
복원하다	복 원 하 다
경옥	경 옥
뿔논병아리	뿔 논 병 아 리
손뼉	손 뼉
암기	암 기
정숙하다	정 숙 하 다
항복하다	항 복 하 다
창설하다	창 설 하 다
향기롭다	향 기 롭 다
새콤하다	새 콤 하 다
한하다	한 하 다
애란	애 란
킹스타운	킹 스 타 운
골백	골 백
궂다	궂 다
루비	루 비
동티모르	동 티 모 르
기수열외	기 수 열 외
부정하다	부 정 하 다
본부	본 부
서진	서 진
조리다	조 리 다
벗다	벗 다
私讐	私 讐
적분	적 분
별똥	별 똥
유월절	유 월 절
문틈	문 틈
예언	예 언
교육하다	교 육 하 다
경관	경 관
보철	보 철
가리다	가 리 다
마구간	마 구 간
간직하다	간 직 하 다
모세관	모 세 관
방위산업체	방 위 산 업 체
은퇴하다	은 퇴 하 다
간지럼	간 지 럼
참개구리	참 개 구 리
참신	참 신
南阿共	南 阿 共
팸플릿	팸 플 릿
놔두다	놔 두 다
얼음과자	얼 음 과 자
海嶺	海 嶺
술자리	술 자 리
닮음	닮 음
노파심	노 파 심
항공모함	항 공 모 함
초강대국	초 강 대 국
미분	미 분
알켄	알 켄
椧	椧
범퍼	범 퍼
겁먹다	겁 먹 다
고르다	고 르 다
몬트리올	몬 트 리 올
붉은피톨	붉 은 피 톨
극심	극 심
마흐디	마 흐 디
괴혈병	괴 혈 병
말레이어	말 레 이 어
알바니아어	알 바 니 아 어
훈훈하다	훈 훈 하 다
음표	음 표
투포환	투 포 환
죠이	죠 이
진하다	진 하 다
기세하다	기 세 하 다
써다	써 다
자판	자 판
도기	도 기
심구다	심 구 다
誤審	誤 審
지적	지 적
열리다	열 리 다
죽음	죽 음
改寤	改 寤
누두	누 두
변화하다	변 화 하 다
퍼브	퍼 브
주형	주 형
數學者	數 學 者
핀란드	핀 란 드
파행	파 행
재난	재 난
비읍	비 읍
품삯	품 삯
어의	어 의
장강	장 강
공주병	공 주 병
대리자	대 리 자
조약돌	조 약 돌
전동	전 동
열여덟	열 여 덟
해쓱하다	해 쓱 하 다
독립국가협동체	독 립 국 가 협 동 체
볼런티어	볼 런 티 어
소방서	소 방 서
잔재	잔 재
암살자	암 살 자
구매되다	구 매 되 다
신입생	신 입 생
적히다	적 히 다
분주하다	분 주 하 다
웨스트버지니아	웨 스 트 버 지 니 아
이론	이 론
거릿모티이	거 릿 모 티 이
하릅	하 릅
닫히다	닫 히 다
밀리그램	밀 리 그 램
개똥벌레	개 똥 벌 레
禝	禝
찧다	찧 다
예보	예 보
알현	알 현
방안	방 안
투사지	투 사 지
맹꽁맹꽁	맹 꽁 맹 꽁
베냉	베 냉
벼리다	벼 리 다
한탄하다	한 탄 하 다
울리짜	울 리 짜
쌍벽	쌍 벽
세슘	세 슘
자살자	자 살 자
크기	크 기
구판	구 판
가티노	가 티 노
부채선인장	부 채 선 인 장
곧다	곧 다
맹자	맹 자
고릴라	고 릴 라
튀기다	튀 기 다
모태	모 태
㠫	㠫
轟音	轟 音
원격조작	원 격 조 작
의미론	의 미 론
테구시갈파	테 구 시 갈 파
빠뜨리다	빠 뜨 리 다
구미호	구 미 호
의하다	의 하 다
댕댕	댕 댕
남성	남 성
休憩室	休 憩 室
훵크	훵 크
확대경	확 대 경
백개먼	백 개 먼
마우재	마 우 재
드러나다	드 러 나 다
헤로인	헤 로 인
士禍	士 禍
독당근	독 당 근
크로아티아인	크 로 아 티 아 인
귀결	귀 결
용지	용 지
모냥	모 냥
철물점	철 물 점
벼루	벼 루
메스	메 스
코피	코 피
홋카이도	홋 카 이 도
카르텔	카 르 텔
價格帶	價 格 帶
漆板	漆 板
머그잔	머 그 잔
아르바이트	아 르 바 이 트
개봉하다	개 봉 하 다
둬	둬
심문	심 문
간자이	간 자 이
조용하다	조 용 하 다
깜둥이	깜 둥 이
트랙터	트 랙 터
揵	揵
콘택트	콘 택 트
承服	承 服
해일경보	해 일 경 보
아틀리에	아 틀 리 에
담박	담 박
곤돌라	곤 돌 라
준주	준 주
이상하다	이 상 하 다
㐘	㐘
억류자	억 류 자
군담	군 담
누부	누 부
-기-	- 기 -
군중	군 중
튀다	튀 다
왕래하다	왕 래 하 다
시찰	시 찰
음경골	음 경 골
아뇰로티	아 뇰 로 티
칠각형	칠 각 형
손쉽다	손 쉽 다
三葉機	三 葉 機
사하다	사 하 다
티아졸	티 아 졸
훑어보다	훑 어 보 다
기초하다	기 초 하 다
긋다	긋 다
스캐너	스 캐 너
원자력	원 자 력
아해	아 해
감탄하다	감 탄 하 다
절대적	절 대 적
세종	세 종
산토끼	산 토 끼
애국자	애 국 자
히드록시기	히 드 록 시 기
일본국	일 본 국
나놔다	나 놔 다
대위	대 위
교착	교 착
일면식	일 면 식
급격하다	급 격 하 다
擴大鏡	擴 大 鏡
영사	영 사
논어	논 어
진딧물	진 딧 물
幱	幱
칫솔	칫 솔
여의자	여 의 자
-야요	- 야 요
랭면	랭 면
부탁해요	부 탁 해 요
채찍	채 찍
안절부절	안 절 부 절
껭이	껭 이
판옥선	판 옥 선
副腎皮質	副 腎 皮 質
사시미	사 시 미
도륙	도 륙
집쥐	집 쥐
불안하다	불 안 하 다
적응도	적 응 도
스웨터	스 웨 터
오랑캐	오 랑 캐
아야톨라	아 야 톨 라
뱃놀이	뱃 놀 이
날것	날 것
어휘집	어 휘 집
마술사	마 술 사
악필	악 필
말세	말 세
여끄	여 끄
껌	껌
부섴	부 섴
전람회	전 람 회
乾畓	乾 畓
북두칠성	북 두 칠 성
惡辣	惡 辣
다묵장어	다 묵 장 어
一品	一 品
접문	접 문
에스토니아어	에 스 토 니 아 어
부리다	부 리 다
동양	동 양
갈아들다	갈 아 들 다
자고배	자 고 배
너덧	너 덧
절차	절 차
교육되다	교 육 되 다
의중	의 중
不凍液	不 凍 液
쇠	쇠
테프	테 프
낙	낙
등가물	등 가 물
個月	個 月
떨어뜨리다	떨 어 뜨 리 다
지극	지 극
平海	平 海
제주도	제 주 도
일코	일 코
북마크	북 마 크
드러냄	드 러 냄
흑발	흑 발
나치즘	나 치 즘
검은무리	검 은 무 리
깨끗하다	깨 끗 하 다
톳	톳
균류	균 류
不可缺脂肪酸	不 可 缺 脂 肪 酸
터럭	터 럭
갤치다	갤 치 다
화장지	화 장 지
중거	중 거
인도유럽어족	인 도 유 럽 어 족
매듭	매 듭
검둥오리사촌	검 둥 오 리 사 촌
오케이	오 케 이
지사	지 사
캄팔라	캄 팔 라
깜빡하다	깜 빡 하 다
土着	土 着
동행	동 행
불리다	불 리 다
말살하다	말 살 하 다
-걸랑	- 걸 랑
어찌하다	어 찌 하 다
보지하다	보 지 하 다
숭배되다	숭 배 되 다
同窓	同 窓
관목	관 목
잎갈나무	잎 갈 나 무
대황	대 황
산호	산 호
호분자	호 분 자
잡년	잡 년
해외	해 외
마다	마 다
꽃병	꽃 병
년도	년 도
간청	간 청
풍자	풍 자
토착어	토 착 어
기공	기 공
재킷	재 킷
냠냠	냠 냠
트렁크	트 렁 크
합치다	합 치 다
불타다	불 타 다
요건	요 건
토쿄	토 쿄
뭉클하다	뭉 클 하 다
無言症	無 言 症
이팝나무	이 팝 나 무
합성록음	합 성 록 음
기윽	기 윽
묠니르	묠 니 르
예비	예 비
骪	骪
예약하다	예 약 하 다
여건	여 건
-께서	- 께 서
관리인	관 리 인
미유기	미 유 기
박대	박 대
아라비아인	아 라 비 아 인
땐쓰	땐 쓰
플라이어	플 라 이 어
목젖	목 젖
커버	커 버
-은데	- 은 데
이과	이 과
수리하다	수 리 하 다
基礎하다	基 礎 하 다
트롤리버스	트 롤 리 버 스
반의어	반 의 어
증발	증 발
온돌	온 돌
애무	애 무
서밋	서 밋
껴안다	껴 안 다
합리주의	합 리 주 의
시더기	시 더 기
우로	우 로
한턱내다	한 턱 내 다
편재	편 재
용도	용 도
양치	양 치
핵분열	핵 분 열
무궁화	무 궁 화
립스틱	립 스 틱
아실기	아 실 기
학식	학 식
미음	미 음
그레나다	그 레 나 다
조사	조 사
브금	브 금
발전되다	발 전 되 다
합격	합 격
문화원	문 화 원
예상하다	예 상 하 다
철갑	철 갑
궐녀	궐 녀
분재	분 재
등허리	등 허 리
在日韓國語	在 日 韓 國 語
단절	단 절
마드라스	마 드 라 스
동중국해	동 중 국 해
효과적	효 과 적
마다가스카르	마 다 가 스 카 르
침향	침 향
권당	권 당
筥	筥
뇨키	뇨 키
밧	밧
당밀	당 밀
ㄼ	ㄼ
공성계	공 성 계
笭	笭
아보카도	아 보 카 도
어머	어 머
평판	평 판
칼상어	칼 상 어
침묵	침 묵
밤색	밤 색
선택하다	선 택 하 다
寸劇	寸 劇
헤집다	헤 집 다
蜃氣樓	蜃 氣 樓
쓰딸로바야	쓰 딸 로 바 야
겹치다	겹 치 다
참마자	참 마 자
國粹主義	國 粹 主 義
협잡질	협 잡 질
핀	핀
淸潔	淸 潔
률시	률 시
불꽃놀이	불 꽃 놀 이
프로펠러	프 로 펠 러
자산	자 산
陽數	陽 數
살짝살짝	살 짝 살 짝
왜어	왜 어
그만두다	그 만 두 다
장터	장 터
사악	사 악
슬로베니아어	슬 로 베 니 아 어
래	래
기물	기 물
토벌	토 벌
퇴학	퇴 학
싣다	싣 다
打率	打 率
몰리브데넘	몰 리 브 데 넘
무화과	무 화 과
카나리아	카 나 리 아
포함하다	포 함 하 다
가관	가 관
탱	탱
직장	직 장
갈아입다	갈 아 입 다
실천하다	실 천 하 다
쪼뼛	쪼 뼛
단묵	단 묵
펩타이드	펩 타 이 드
사체	사 체
대저택	대 저 택
片鱗	片 鱗
텐구	텐 구
유리창	유 리 창
군사력	군 사 력
선악	선 악
계랄	계 랄
더블유	더 블 유
보릿고개	보 릿 고 개
오글오글	오 글 오 글
살결	살 결
어릿광대	어 릿 광 대
여달	여 달
방언	방 언
황태후	황 태 후
귀요미	귀 요 미
바다뱀	바 다 뱀
화사하다	화 사 하 다
케밥	케 밥
전투	전 투
정리하다	정 리 하 다
고물고물	고 물 고 물
본능	본 능
금메	금 메
-리-	- 리 -
개봉	개 봉
나중	나 중
수사학	수 사 학
발각	발 각
살처분	살 처 분
신자식	신 자 식
방어율	방 어 율
대검집	대 검 집
깜작깜작	깜 작 깜 작
숭경	숭 경
관용구	관 용 구
식사하다	식 사 하 다
傳貰	傳 貰
파고다	파 고 다
미소년	미 소 년
종횡가	종 횡 가
활엽수	활 엽 수
경쟁하다	경 쟁 하 다
오얘	오 얘
재구하다	재 구 하 다
네댓	네 댓
삼엽기	삼 엽 기
덧니	덧 니
