Code	Locale	What is your level of proficiency with the target language?	"Does the target language use abbreviations formed from the first character of each word in a phrase (e.g., ""NATO"" <  ""North American Treaty Organization"", ""CIA"" < ""Central Intelligence Agency"")?"	Please provide 2-3 examples of abbreviations formed from the first character of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed from the first syllable of each word in a phrase (e.g., ""FiDi"" < ""Financial District"", ""ForEx"" < ""foreign exchange"")?"	Please provide 2-3 examples of abbreviations formed from the first syllable of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words (e.g., ""Col."" < ""Colonel"", ""Ave."" < ""Avenue"")?"	Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes (e.g., Australian English ""footie"" < ""football"", with an -ie augment, ""ambo"" < ""ambulance"" with an -o augment)?"	"Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)"	"Does the target language use abbreviations formed by deleting characters (e.g., particularly vowels) from the middle of words (e.g., ""Blvd."" < ""Boulevard"", ""Sgt."" < ""Sergeant"")?"	Please provide 2-3 examples of abbreviations formed by deleting characters from the middle of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any orthographic tricks to mark the inflection of abbreviations (e.g., Spanish ""'EE UU."" < ""Estados Unidos"" 'United States', with the doubling used to indicate that the abbreviation is plural)?"	Please provide 2-3 examples of inflected abbreviations in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any particular orthographic tricks to abbreviate reduplication (e.g., Indonesian ""orang2"" < ""orangorang"" 'people', with ""2"" used to indicate reduplication)? Answer ""No"" if the target language does not have productive reduplication."	Please provide 2-3 examples of abbreviations for reduplication in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	Does the target language use any other style of abbreviation not yet covered?	Please provide 2-3 examples of these other style or styles, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to discussions of other styles of abbreviation in the target language.)
pl	Polish	5	Yes	Wszyscy są przeciwko PiS-owi.  Wszyscy są przeciwko partii Prawo i Sprawiedliwość.  Everybody is against Law and Justice Party.   Jak podaje GUS inflacja w styczniu wyniosła 12,4%.  Główny Urząd Statystyczny został wyznaczony do przeprowadzenia badań ankietowych.  The Central Statistical Agency is designated to provide the survey.	Yes	Polfa rozwija produkcję leków. Pracownicy Polskiej Farmacji protestują od zeszłego poniedziałku. Workers of Polish Pharmacy have been protesting since last Monday.	Yes	Dom przy ul. Grodzkiej 9B/6. Wypadek zdarzył się przy ulicy Narutowicza. This accident took place on Narutowicz Street.	No		Yes	TOZ podjął decyzję o karze za dręczenie psów. Towarzystwo Opieki nad Zwierzętami podjęło decyzję. Animal Protection Society decided to punish them.  BBWR jest na naszej liście. Bezpartyjny Blok Współpracy z Rządem nie popisał się tym razem. The Nonpartisan Bloc for Cooperation with the Government did not manage to achieve the goal.	Yes	Informacja dla oo. Nowaka i Kowalskiego na temat ich dzieci. Informacja dla ojców Nowaka i Kowalskiego odnośnie wycieczki. Info about the trip given to the fathers Nowak and Kowalski.  Ostrzeżenie dla prof. prof. Kota i Szulca. Ostrzeżenie dla profesorów Kota i Szulca.  Warning given to professors Kot and Szulc.	No		Yes	Polmos odnotował straty w tym roku. Polski Monopol Spirytusowy odnotował straty w tym roku. Polish Spirits Monopoly was a stated owned market controller.  PZMot uczestniczył w tegorocznych obchodach Dnia Bez Samochodu. Polski Związek Motorowy będzie musiał zakończyć działalność. Polish Automobile and Motorcycle Federation is based i Warsaw
id	Indonesian	5	Yes	1. SD -> Sekolah Dasar (Elementary School) 2. SMP -> Sekolah Menengah Pertama (Junior High School) 3. SMA -> Sekolah Menengah Atas (Senior High School)	Yes	1. Tabika -> Taman Bimbingan Kanak-kanak (Nursery school) 2. Cerpen -> Cerita Pendek (Short story) 3. Bernama -> Berita Nasional Malaysia (Malaysian National News)	Yes	1. Prof. -> Profesor (professor) 2. Alm. -> Almarhum (late or deceased) 3. Jend. -> Jenderal (General)	Yes	"1. bokap -> ""bapak"" truncated as ""bap"" then add ""-ok-"" in the middle (father). 2. gokil -> ""gila"" truncated as ""gil"" then add ""-ok-"" in the middle (crazy). 3. doku -> ""duit"" truncated as ""du"" then add ""-ok-"" in the middle (money)  Link : https://paragram.id/berita/ternyata-begini-asal-usul-dari-kata-bokap-dan-nyokap-25919"	Yes	1. tsb. -> tersebut (mentioned, said). 2. ybs. -> yang bersangkutan (concerned). 3. dkk. -> dan kawan-kawan (and friends).	Yes	1. AS -> Amerika Serikat (US, United States). 2. UE -> Uni Eropa (European Union).	Yes	"1. jalan2 -> ""jalan-jalan"" (take a walk). 2. P3DT -> ""Proyek Peningkatan Pembangunan Daerah Tertinggal"" (Development Improvement Project for Disadvantaged Areas). 3. lelaki -> ""laki-laki"" (man)."	Yes	"1. miras -> ""minuman keras"" (liquor). 2. laman -> ""halaman"" (page). 3. Man-U -> ""Manchester United"" (Manchester United)."
sw	Swahili	5	Yes	AZIMIO LA UMOJA(ALU)KITUO CHA POLISI(KCP)	No		No		No		No		No		No		No	
ha	Hausa	5	Yes	"ISA. < ""In Sha Allahu"" (By Allah's grace) ""SAW."" < ""Salalahu Alehi Wasalam"" (Peace be upon him)"	No		Yes	"Alh. < ""Alhaji"" (Male who has made pilgrimage to Mecca) ""Hau."" < ""Hausa"" (Hausa Language)"	No		Yes	"Ashrn. < ""Ashirin"" (Twenty) ""Daria."" < ""Dariya"" (Laugh)"	No		No		Yes	"Gy2ma. < ""Gyatuma"" (An old woman) ""2ra."" < ""Tura"" (Send)"
am	Amharic	5	Yes	(ኢ.ፌ.ዲ.ሪ., ኢትዮጵያ ፌዴራላዊ ዲሞክራሲያዊ ሪፐብሊክ) (Federal Democratic Republic of Ethiopia, FDRE) 	No		No		No		No		No		No		Yes	ን/ስ/ላ/ክ/ከ/አ/ግ/ከ/ቅ/ጽ/ቤ  (ንፋስ ስልክ ላፍቶ ክፍለ ከተማ አነስተኛ ግብር ከፋዮች ቅርንጫፍ ጽሕፈት ቤት) ጽ/ቤት (ጽሕፈት ቤት) ዶ/ር (ዶክተር) , ም/ር (መምህር)
vi	Vietnamese	5	Yes	CHXHCNVN (Cộng Hòa Xã Hội Chủ Nghĩa Việt Nam - Government of the Socialist Republic of Viet Nam) ; LHQ ( Liên Hợp Quốc - United Nations) ; THPT (Trung Học Phổ Thông - High school)	Yes	Vovinam (Võ Việt Nam - Vietnamese Martial Art), Fahasa (Phát hành sách - Book Publishing), Tiki (Tìm Kiếm & Tiết Kiệm - Searching & Saving)	No		No		Yes	Yes but only in casual or informal way of saying. For example: 'kng' (không - no), 'dc' (được - okay), trc (trước - before)	No		Yes	Yes but only in informal or casual situation like texting or taking notes. For examples: ha2 (ha ha - laughing sound), nghiêng2 (nghiêng nghiêng - slanting)	No	
sw	Swahili	5	No		No		Yes	1. Bw. - Bwana (Mr or Sir) 2. Bi. - Bibi (Madam or Mrs.)	No		No		No		No		No	
sw	Swahili	5	Yes	Hi some of the highlights below is a mixture of abbreviation in both english and swahili 1. CCM - Chama cha Mapinduzi this is an abbreviation of the ruling party in tanzania the full form is in swahili. 2.k.m. - kwa mfano(swahili) in english for example 3.mt - methali(swahili) in Poverbs 4.GSU - General Service Unit this abbreviation is both for swahili and english 5.FFU - Fanya Fujo Uone (swahili) -Field Force Unit in english. 	Yes	a)UKIMWI-Uhaba/Ukosefu wa KInga MWIlini.-AIDS(English)	Yes	1.ele - elekezi-show 2.fiz - fizikia-Physics 3.kem - kemia-chemestry	Yes	1.Ukingo-Ukingoni-(Edge in english) 2.Ugh-Ughaibuni-(Overseas in english)	Yes	1.ksh - kishairi(Swahili)-(poem) 2.nm - nomino(Swahili)-(Noun) 3.kt - kitenzi(Swahili)-(Action)	No		No		No	
vi	Vietnamese	5	Yes	BGDĐT: Bộ Giáo Dục Đào Tạo (Ministry of Education and Training) KHHGĐ: Kế Hoạch Hóa Gia Đình (Family planing) XHCN: Xã Hội Chủ Nghĩa (Socialism) THCS: Trung Học Cơ Sở ( Secondary School) THPT: Trung Học Phổ Thông (High School)	Yes	Cty: Công ty (company) Ngta: Người ta (other people) Vina: Việt Nam (Vietnam) Dana: Đà Nẵng ( Da Nang)	Yes	Đc: Được (adverb, passive form tobe +-ed) Trg: Trong (in) Khg: Không (No) Bt: biết (know) 	Yes	"Hem < ""Không"" (No) ""Khum"" < ""Không"" (No) ""lun"" < ""Luôn"" (always) ""Vưn"" < ""Vâng"" (okay/yes)"	Yes	lm > Làm (do) đg > Đường (road) hc > Học (study)	Yes	"4 \: Phò (hooker, whore)_ when Pho sounds like ""Four"" + the mark put above the four, we have a sound similar to ""Phò"" (https://chiembaomothay.com/2021/06/4-la-gi.html)"	Yes	Luôn2 >  Luôn Luôn (Always) Ầm2 > Ầm Ầm (very noisy)	No	
ha	Hausa	5	No		No		Yes	1. Mal. (full form is Malam meaning teacher) 2. Alh. (full form is Alhaji meaning one who has participated in a hajj)	No		No		No		No		No	
ha	Hausa	5	Yes	1. EYN Ekklesiyar Yan'uwa a Nijeriya (The church of brethren in Nigeria) 2. ISA Insha Allah (God willing)	No		Yes	1. Alh. Alhaji (meaning man who went for hajj) 2. Haj. Hajiya (meaning woman who went for hajj)	No		Yes	1. Hau Hausa (hausa language) 2. Lrb Laraba (Friday)	No		No		No	
tr	Turkish	5	Yes	NBS: noterlik bilgi sistemi (notery information system). KDV: katkı değer vergisi (contribution value tax). KVKK: Kişisel Verilerin Korunması Kanunu(Personal Data Protection Law) https://www.kvkk.gov.tr/  	No		Yes	D.: Daire (flat) sk. :sokak (street) ing: inglizce (english)	No		No		No		No		No	
tr	Turkish	5	Yes	T.C: Turkiye Cumhuriyeti (Republic of Turkey) ÖTV: Özel Tüketim Vergisi (Special Consumption Tax) PÖH: Polis Özel Harekat (Police Special Operations)	Yes	Shçek: Sosyal Hizmetler ve Çocuk Esirgeme Kurumu (Social Services and Child Protection Agency) 	Yes	mah. : Mahalle (District) Sk. : Sokak (Street) Cd. : Cadde (road)	No		Yes	şhr: Şehir (City) 	No		No		No	
he	Hebrew	5	No		Yes	"דוא""ל / דואר אלקטרוני / email "	Yes	דק' / דקה / MINUTE        שנ' / שניה / SECOND	No		No		No		No		No	
am	Amharic	5	Yes	Ethiopian Teachers Association  Me E ma, Ethiopian Air Force, E A Ha	No		Yes	General, jie Woyezero, wro	No		No		No		No		No	
en	English	4	Yes	1. WWW - World Wide Web - connectivity for information sharing 2. BYOB - Bring Your Own Beverage - guests should bring their own drinks to an event	Yes	1. Sitcom - Situation comedy - A type of TV series 2. Romcom - Romantic comedy - A type of TV series	Yes	1. Univ. - University - High level educational institution 2. Adj. - Adjective -  A word naming an attribute of a noun	Yes	1. Telly - Television - A device with a screen for moving images and sound 2. Awks - Awkward - Uneasy embarassment	Yes	1. Rd. - Road - A long, paved surface made for travelling by vehicles 2. Apt. - Apartment - A room or set of rooms leased as a dwelling	No		No		No	
uz	Uzbek	5	Yes	IIB (Ichki Ishlar Boshqarmasi)	Yes	UzEx (Uzbek CommodityExchange)	No		No		No		No		No		No	
vi	Vietnamese	5	Yes	CNTT - Công Nghệ Thông Tin - Information Technology ĐH - Đại học - University BHYT - Bảo Hiểm Y Tế - Health Insurance	No		No		No		Yes	Ko - Không - No, zero Đc - Được - OK Trg - Trang - Page	No		No		Yes	K.thúc - Kết thúc - End B.đầu - Bắt đầu - Start H.thành - Hoàn thành - Complete
vi	Vietnamese	5	Yes	CNTT - Công Nghệ Thông Tin - Information Technology BHYT - Bảo Hiểm Y Tế - Health Insurance BHXH - Bảo Hiểm Xã Hội - Social Insurance	No		No		No		Yes	Thg - Tháng - Month Đc - Được - OK Trg - Trang - Page	No		No		Yes	K.thúc - Kết thúc - End B.đầu - Bắt đầu - Start H.thành - Hoàn thành - Complete
uz	Uzbek	5	No		Yes	BMT- Birlashgan Millatlar Tashkiloti ( UN) https://uz.wikipedia.org/wiki/Birlashgan_millatlar_tashkiloti  OTB- Osiyo Taraqqiyot Banki 9 (ADB) https://lex.uz/uz/docs/-5896062  JST- Jahon Savdo Tashkiloti (WTO) https://oz.sputniknews-uz.com/20211028/jst-ozbekistonning-tashkilotga-qoshilishiga-yordam-beradi-21135416.html	No		Yes	Uy+ siz= Uysiz ( Home- Homeless) https://uzreport.news/society/sardoba-toshqini-tufayli-uysiz-qolgan-fuqarolar-uy-ololmasa-kimga-murojaat-qilishi-kerak-  Bog'+ bon= Bog'bon ( Garden- Gardener) http://hozir.org/mavzu-grammatika-va-morfologiyaga-kirish.html?page=18  Ish+ chi= Ishchi ( Work - Worker) http://hozir.org/mavzu-soz-yasalish-tarkibi-soz-yasash-usullari.html  Ta'm+ siz= Ta'msiz ( Taste- Tasteful)  http://www.hozir.org/odam-anatomiyasi-va-fiziologiyasi-v3.html?page=212	No		No		No		Yes	O'zRes (or just O'zR) - O'zbekiston Respublikasi ( Republic of Uzbekistan) https://effective-standard.uz/uz/o-zres-tn-ved-kodlarining-ekspert-xulosasi/  Yurfak - Yuridik fakulteti (Faculty of Law) http://diloromabdullah.blogspot.com/2009/12/yurfak.html  O'zStandart ( Standardization in Uzbekistan) https://www.google.com/search?q=o%27zstandart+uzbekiston&rlz=1C1GGRV_enUZ895UZ895&ei=bG2nYrmKLZGbrgTEzq6YDA&ved=0ahUKEwi58MHr86r4AhWRjYsKHUSnC8MQ4dUDCA4&uact=5&oq=o%27zstandart+uzbekiston&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BggAEB4QDUoECEEYAEoECEYYAFCjBFicDWC2D2gBcAF4AIABmwGIAZEDkgEDMC4zmAEAoAEByAEDwAEB&sclient=gws-wiz
uz	Uzbek	5	Yes	1. Abbreviation: IIV. Expanded form: Ichki ishlar vazirligi. English gloss: Ichki ishlar vazirligi = Ministry of Internal Affairs (MIA).  2. Abbreviation: TATU. Expanded form: Toshkent axborot texnologiyalari universiteti. English gloss: Toshkent axborot texnologiyalari universiteti = Tashkent University of Information Technologies (TUIT).  3. Abbreviation: BMT. Expanded form: Birlashgan Millatlar Tashkiloti. English gloss: Birlashgan Millatlar Tashkiloti = United Nations (UN).	No		Yes	"1. ""Tel."" < ""Telefon"". ""Telefon"" means a phone number and it is often used as ""Tel.: 9999999""."	No		Yes	"1. ""Mlrd."" < ""Milliard"". ""Milliard"" = Billion (in English).  2. ""Mln."" < ""Million"". ""Million"" = ""Million (in English)""."	No		No		Yes	"The Uzbek language uses abbreviations formed from the first syllable of the first word in a phrase and the first letters of the next words in the phrase.  Example 1: ""SamDU"" < ""Samarqand davlat universiteti"". ""Samarqand davlat universiteti"" = ""Samarkand State University (SamSU)”.  Example 2: ""NamDU"" < ""Namangan davlat universiteti"". ""Samarqand davlat universiteti"" = ""Namangan State University (NamSU)”."
pl	Polish	5	Yes	ZUS < Zakład Ubezpieczeń Społecznych (in English: Social Insurance Institution); PAN < Polska Akademia Nauk (Polish Academy of Sciences); GOPR < Górskie Ochotnicze Pogotowie Ratunkowe (Mountain Volunteer Search and Rescue)	Yes	Polfa < Polska Farmacja (Polish Pharmacy); Pafawag < Państwowa Fabryka Wagonów (State Railway Carriage Factory); Torwar < Tor Warszawski (Warsaw Racetrack)	Yes	godz. < godzina (hour - if the last letter of the abbreviation is NOT the last letter of the word being abbreviated, there is a period after the abbreviation); mies. < miesiąc (month); pon. < poniedziałek (Monday)	No		Yes	pkt < punkt (point, no period after abbreviation - 't' is the last letter of the word)	Yes	GUS-owi (Central Statistical Office of Poland, hyphen + inflectional suffix of datvie); GUS-ie (hyphen + inflectional suffix of locative)	No		Yes	p.n.e. < przed naszą erą (before Christ, no space used); m.in. < między innymi (among others; no space used); ChRL < Chińska Republika Ludowa (Public Republic of China, 'ch' is a digraph, when used in abbreviation then 'h' is lower case); itd. < i tak dalej (etc. - abbreviation of a two- or more-word name whose second and following words begin with a consonant, there is only one dot at the end of the abbreviation) 
tr	Turkish	5	Yes	İSKİ: İstanbul Su ve Kanalizasyon İdaresi (the water and sewage administration of İstanbul) MİT: Merkezi İstihbarat Teşkilatı (central intelligence agency of Turkey)  İMKB: İstanbul Menkul Kıymetler Borsası (İstanbul Sock Exchange Market) İBB: İstanbul Büyükşehir Belediyesi (İstanbul Metropolitan Municipality) AKM: Atatürk Kültür Merkezi (Ataturk Cultural Center)	Yes	TÜBİTAK: TÜrkiye Bİlimsel ve Teknolojik Araştırma Kurumu (Scientific and Technological Research Institution of Turkey) ASELSAN: ASkeri ELektronik SANayi (a Turkish defense corporation) 	Yes	Mah: mahalle (neighborhood, district) Sok: sokak (street) İng: İngilizce (English) Alb: Albay (colonel) Av: Avukat (lawyer)	Yes	Bebiş: Bebek (a cuter way to say baby) Kuzi: Kuzen (a cordial way to say cousin) Aşkitom: Aşkım (a casual way to say my love) 	Yes	"bkz: bakınız (an abbreviation that means ""see"" when giving references in a text) vs: vesaire (means etc) tlf: telefon (phone)"	No		No		Yes	"Sometimes people shorten names by replacing the last part of the names with the letter ""o"". It is not a delicate and courteous way to address a person so it is mostly used by males to shorten the names of their friends. Seyfo: Seyfettin Apo: Abdullah Maho: Mahir"
ti	Tigrinya	5	Yes	WHO ውድብ ጥዕና ዓለም፡ UN ውድብ ሕቡራት ሃገራት፡ 	No		Yes	Col ኮ/ል ኮለኔል dr. ዶ/ር ዶክተር	No		No		Yes	US ሕሃ ሕቡራት ሃገራት WHO ውጥዓ ውድብ ጥዕና ዓለም	No		No	
am	Amharic	5	Yes	ተመድ - የተባበሩት መንግሥታት ድርጅት (UN - United Nations) ኢፌዴሪ  - የኢትዮጵያ ፌደራላዊ ዴሞክራሲያዊ ሪፐብሊክ (FDRE - Federal Democratic Republic of Ethiopia)	No		Yes	ኃይሌ ገ/ሥላሴ (Haile G/Selassie - Haile GebreSelassie) ስብሐት ገ/እግዚአብሔር (Sebhat G/Egziabher - Sebhat GebreEgziabher)	No		No		No		No		No	
uz	Uzbek	5	Yes	BMT - Birlashgan millatlar tashkiloti (United Nations) MDH - Mustaqil davlatlar hamdoʻstligi (The Commonwealth of Independent States)	Yes	O'zdavgeolqo'm - O'zbekiston Davlat Geologiya Qo'mitasi ( The State Committee of the Republic of Uzbekistan for Geology and mineral resources) O'zeltexsanoat -  O‘zbekiston elektrotexnika sanoati korxonalari uyushmasi (the Association of electrotechnical enterprises of Uzbekistan)	No		No		No		No		No		No	
he	Hebrew	5	Yes	"צה""ל - צבא הגנה לישראל IDF- ISRAELI DEFENSE FORCES שב""כ - שירות ביטחון כללי ISRAELI FBI חו""ל - חוץ לארץ out of the country"	Yes	"חו""ל - חוץ לארץ OUT OF THE COUNTRY - ABROAD אבנ""צ - אבני חפץ A VILLAGE IN ISRAEL יוע""מ - יועץ מס A TAX ADVISOR"	Yes	אגר' - אגרונום agronomist ר' - רב RABBI אוג' - אוגוסט MONTH OF AUGUST	Yes	CAN'T THINK OF ANY BUT THERE IS	No		No		No		Yes	We sometimes use a dash in the middle of the word so we won't have to write the whole thing. for example - ח-ן חשבון means account and it's written on a bank paper, for example. 
pl	Polish	5	Yes	itp. - i tym podobne (and the like); itd. - i tak dalej (and so forth)	No		Yes	ul. / ulica / street os. / osiedle / estate tys. / tysiąc / thousand	No		Yes	dr / doktor / PhD płn. / północ / north	Yes	oo. / ojcowie / Fathers prof. prof. / profesorowie / professors	No		No	
he	Hebrew	5	No		No		No		No		No		No		No		No	
te	Telugu	4	Yes	1. ఆo. ప్ర. రా. రో. ర. సం - ఆంధ్రప్రదేశ్ రాష్ట్ర రోడ్డు రవాణా సంస్థ,   2. ఆం. సా. క. మం. - ఆంధ్రప్రదేశ్ సాహితీ కళా మండలి, 3. జా. గ్రా. ఉ. ప - జాతీయ గ్రామీణ ఉపాధి పథకం. 	No		Yes	1. చ|| - చరణం, 2. గౌ|| - గౌరవనీయులు.	Yes	1. భోజనం - బోనం, 2. ద్వీపము - దీవి	No		No		Yes	1. గలగల,  2. నిగనిగ	Yes	1. వికటకవి, 2. కుమ్మకు.
te	Telugu	4	Yes	1.ద. మ.రై- దక్షణ మధ్య రైల్వే రై 2. భా.జ.పా. - భారతీయ జనతా పార్టీ	No		Yes	చి|| - చిరంజీవి 2. జి|| - జిల్లా	Yes	1.సేన- సైన్యం 2.ప్రజ - ప్రజలు	No		No		Yes	1.పద పద 2.టక టక 	No	
te	Telugu	4	Yes	1) తిరుమల తిరుపతి దేవస్థానములు ( తి.తి.దే ), 2) ఐక్య రాజ్య సమితి ( ఐ.రా.స ), 3) ఆంధ్ర సాహిత్య పరిషత్పత్రిక (ఆం.సా.ప.ప).	No		Yes	"1)"" చి|| "" < "" చిరంజీవి"" 2) "" శ్లో || "" < "" శ్లోకం """	Yes	"1) "" ప్రజా "" < "" ప్రజలు "" "	No		No		Yes	" గావర గావర , "" గజ గజ """	Yes	పులుపు, కందకం ( Palindrome )
hi	Hindi	4	No		No		No		No		No		No		No		No	
hi	Hindi	4	Yes	ISRO(इसरो) Indian Space Research Organisation/भारतीय अंतरिक्ष अनुसंधान संगठन, Unicef(यूनिसेफ) United Nations International Children's Emergency Fund/संयुक्त राष्ट्र अंतर्राष्ट्रीय बाल आपात निधि 	No		No		No		No		No		No		No	
kn	Kannada	4	Yes	ಕರ್ನಾಟಕ ರಕ್ಷಣಾ ವೇದಿಕೆ (ಕ.ರ.ವೇ), ಕರ್ನಾಟಕ ರಾಜ್ಯ ರಸ್ತೆ ಸಾರಿಗೆ ನಿಗಮ (ಕ ರಾ ರ ಸಾ ನಿ)	Yes	ಕಣ್ಮಣಿ, ಗುಣಮಣಿ	Yes	"ಡಾ. < ""ಡಾಕ್ಟರೇಟು"", ""ಚಿ"" < ಚಿರಂಜೀವಿ, """	Yes	"ಜಗ < ""ಜಗತ್ತು"", ""ಸಂಪತ್"" < ""ಸಂಪತ್ತು"""	No		No		Yes	"ಊರು + ಊರು < ""ಊರೂರು"", ""ಅಲ್ಲಿ + ಅಲ್ಲಿ"" < ""ಅಲ್ಲಲ್ಲಿ"""	Yes	"(ಯಣ್‌ಸಂಧಿ) ""ಅತಿ + ಉಷ್ಣ"" = ""ಅತ್ಯುಷ್ಣ"", (ವೃದ್ಧಿಸಂಧಿ) ""ಏಕ + ಏಕ = ಏಕೈಕ"""
mr	Marathi	4	Yes	"१) महा.आ.रा. :- स्वतंत्र आपला राज्य  (English Gloss is ""Maharashtra Our State"")  २) सा.वि.सा.यो. :- सर्व विद्यार्थ्यांसाठी योजना. (English gloss is "" For All Students Scheme"") ३) स्व.सु.रा. :- स्वतंत्र सुवर्णरत्न.स्वतंत्र. ( English gloss ""Independent Golden Gem"")"	Yes	"१) आधी.आपू. Explanation in Marathi is  आधी आपली and English gloss ""First Ours"". २) संग्रा.स्थल.  Explanation in Marathi is  संग्राम स्थल and English gloss ""Battle Ground"". ३) संस्कृ.साहि. Explanation in Marathi is  संस्कृत साहित्य and English gloss ""Sanskrit Literature""."	Yes	"१) महा. : महाराष्ट्र  English loss is ""The state of Maharashtra"". २) नगरपा. : नगरपालिका English loss is ""Municipal Corporation"". 3) उपन. : उपनगर English loss is ""Suburb""."	Yes	"१) गळा. Explanation in Marathi is  गळाबंध and English gloss ""Collar (as in a shirt collar)"". २) साक्षी :  Explanation in Marathi is  साक्षरता and English gloss ""Literacy"". ३) व्यापी Explanation in Marathi is  व्यापारी and English gloss ""Businessperson""."	No		No		No		No	
mr	Marathi	4	Yes	१) शि.सं.प्रा. : शिक्षण संस्था प्रबंध (English Gloss: Education Institute Management)  २) स.सं.र. : समाज संबंध रक्षण (English Gloss: Social Relations Protection) ३) सु.सं.से. : सुरक्षा संरक्षण सेवा (English Gloss: Security Protection Service)	Yes	१) शिक्षा-संस्था : शिक्षा संस्थान (English Gloss: Educational Institution) २) सामसेव : सामाजिक सेवा (English Gloss: Social Service) ३) सुरक्षा-सेवा : सुरक्षा सेवा (English Gloss: Security Service)	Yes	१) प्र. : प्रमुख (English Gloss: Chief) २) प्रा. प्राध्यापक (English Gloss: Principal) ३) सौ. सौजन्य (English Gloss: Kindness)	Yes	१)स्वास्थ्यो : स्वास्थ्य (English Gloss: Health) २) रंगो : रंगकला (English Gloss: Art) ३) प्रदर्श : प्रदर्शन (English Gloss: Exhibition)	No		No		No		No	
or	Odia	5	Yes	1.ଭା.ଦି. - ଭାରତୀୟ ଦିନ | 2. ଆପ-ଆରୋଗ୍ୟ ପରିଚାର	No		Yes	1. ଜି. - ଜିଲ୍ଲା 2. ଥା. - ଥାନା	No		Yes	ସୁବର୍ଣ୍ଣ - ସୋର୍ଣ୍ଣ	No		Yes	ଚିକ୍ ଚିକ୍ - ଚମକ 	No	
mr	Marathi	4	Yes	1) एम एस इ बी         -  महाराष्ट्र स्टेट इलेक्ट्रिसिटी बोर्ड २) एम जे पी              -  महाराष्ट्र जीवन प्राधिकरण ३) पी एम जे एस वाय  -  प्रधान मंत्री ग्राम सडक योजना	No		Yes	१) साही      -  साहित्य २) अनु        -  अनुभव 	Yes	1) शिक्षणो     -   शिक्षक २) विज्ञान      -   विज्ञानशास्त्र ३) समाज      -   समाजशास्त्र	No		No		No		No	
or	Odia	5	Yes	1. ଓଡ. ଭା. ବି:- ଓଡ଼ିଆ ଭାଷା ବିଦ୍ୟା  2. ଓ. ସା. ଆ:- ଓଡ଼ିଶା ସାହିତ୍ୟ ଏକାଡେମୀ	No		Yes	1.ସର୍:- ସରକାର; 2.ଘ:- ଘଣ୍ଟା; 3.ଗ୍ରା:- ଗ୍ରାମ	No		No		No		No		No	
hi-la	Hindi (Latin)	4	Yes	Daskhin Madhya Raliway - D.M.R, Karmachari Rajya Bima Nigam - K.R.B.N	No		No		No		Yes	Saubhagyawati - Sau, Pandit - Pan	No		No		Yes	Sandhi- vyanjan Sandhi- (dik + Gaj) = Diggaj, Swar Sandhi - (Sam + tosh) = Santosh
ur	Urdu	4	Yes	ADB as AE. DI. BI , NCIM as EN. SI. EI. EM , and  BRIC as BI. AAR. EI Si	Yes	RBI as AAR. BI. AI, IIT as AI. AI. TI	Yes	IPS as AI. PI. ES, IAS as AI. AE. ES	No		No		No		Yes	UN as AQ. MUT, IMF as BN. AL. AQ. MLT. FND	No	
ur	Urdu	5	Yes	PI.EM.EL - Pakistan Musalman Leag	No		No		No		Yes	Ti El Em - Taleem	No		No		No	
or	Odia	4	Yes	bi.pa.bi.pb- Biju patnaik unversity of tecnology, 	Yes	ja.de.vi - jay dev vihar    	No		No		No		No		No		No	
bn	Bengali	5	No		No		Yes	udaharan- uda	No		No		No		No		No	
bn	Bengali	5	Yes	Paschim Banga - poḥ.boḥ, (West Bengal) Jooj - jo. (Judge) 	Yes	Paschim Banga - Pohboh (West Bengal), Bisesh Drostobbo- Bidro (Important Disclaimer) 	Yes	Robibar - Robi (Sunday), Jooj - Jo (Judge), Choudhuri - Chou (Surname in Bengali) 	Yes	Tarikh - Tang. (Date), Jongson - Jong. (Junction), Songkhwep - Song. (In short) 	Yes	Giyeche - Geche (Went/Go) Borodada - Borda (Elder Brother) Chotodada - chotda (Brother) 	No		No		No	
