LigandId,DockingScore,Smiles,dG,dGError
3044,-8.31,COc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3C)c2)c(F)c1,7.2,0.471
3045,-9.066,Cc1ccc(C(=O)Nc2cc(NC(=O)C3CC3(C)C)ncc2F)c(Cl)c1,0.655,0.48
3046,-8.352,COc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3CNC(C)=O)c2)cc1,15.576,0.512
3047,-8.019,COc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3(C)C)c2)c(F)c1,13.304,0.483
3048,-8.591,Cc1ccc(Cl)cc1C(=O)Nc1cc(NC(=O)C2CC2(C)C)ncc1F,5.339,0.477
3049,-8.766,COc1cccc(C)c1C(=O)Nc1cc(NC(=O)C2CCCC2)ncc1F,-0.202,0.484
3050,-8.942,O=C(Nc1ccnc(NC(=O)C2CC2CO)c1)c1c(F)cccc1Br,-3.565,0.466
3051,-9.105,Cc1ccc(C(=O)Nc2cc(NC(=O)C3CC3C)ncc2F)c(Cl)c1,-1.698,0.467
3052,-8.75,COc1cc(Cl)ccc1C(=O)Nc1cc(NC(=O)C2CC2Cl)ncc1F,-7.894,0.472
3053,-8.34,COc1ccc(F)c(C(=O)Nc2ccnc(NC(=O)C3CC3C)c2)c1,3.79,0.463
3054,-8.246,COc1ccc(F)c(C(=O)Nc2ccnc(NC(=O)C3CC3(C)C)c2)c1,10.685,0.474
3055,-9.117,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3CO)c2)c1F,2.433,0.463
3056,-9.003,COc1ccc(Cl)cc1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,-4.546,0.467
3057,-9.042,COc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)NC3CC(O)C3)c2)c(Cl)c1,-4.61,0.503
3058,-8.463,Cc1ccc(Cl)c(C(=O)Nc2ccnc(Nc3cc(C4CC4)nc(N)n3)c2)c1,1.066,0.493
3059,-8.793,COc1cc(Cl)ccc1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,-6.086,0.469
3060,-8.611,COc1cccc(C)c1C(=O)Nc1cc(NC(=O)C2CCCCC2)ncc1F,-2.229,0.495
3061,-8.786,COc1cc(Cl)cc(Cl)c1C(=O)Nc1cc(NC(=O)C2CC(O)C2)ncc1F,8.07,0.491
3062,-8.893,COc1cccc(F)c1C(=O)Nc1ccnc(NC(=O)C2CC2CO)c1,3.919,0.475
3063,-8.507,COc1c(F)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2C#N)c1,4.933,0.472
3064,-9.247,COc1ccc(Cl)cc1C(=O)Nc1cc(NC(=O)C2CC(O)C2)ncc1F,-8.75,0.479
3065,-8.571,COc1c(F)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2CO)c1,12.46,0.476
3066,-8.952,CC(O)c1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3(C)C)ncc2F)c(Cl)c1,15.705,0.512
3067,-8.171,COc1c(C)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2CO)c1,6.486,0.481
3068,-9.501,CC(=O)NCC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(C)cc2Cl)c(F)cn1,15.413,0.52
3069,-8.701,COc1c(Cl)cccc1C(=O)Nc1cc(NC(=O)C2CC2C#N)ncc1F,7.434,0.475
3070,-8.867,CNC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2cc(OC)ccc2Cl)c(F)cn1,-9.851,0.5
3071,-9.276,O=C(Nc1cc(NC(=O)C2CC2CO)ncc1F)c1c(Cl)cc(CF)cc1Cl,12.53,0.491
3072,-8.134,COc1c(C)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2C#N)c1,9.989,0.476
3073,-8.96,Cc1c(Cl)cccc1C(=O)Nc1cc(NC(=O)C2CC2C#N)ncc1F,11.059,0.471
3074,-9.55,COc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3CO)ncc2F)c(Cl)c1,16.6,0.495
3075,-9.372,COc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3C#N)ncc2F)c(Cl)c1,3.134,0.488
3076,-9.032,CC(=O)c1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3CO)ncc2F)c(Cl)c1,13.999,0.502
3077,-9.19,CC(O)c1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3C)ncc2F)c(Cl)c1,12.557,0.498
3078,-8.811,COc1cccc(C)c1C(=O)Nc1ccnc(NC(=O)C2CC2CO)c1,9.662,0.48
3079,-8.545,COc1c(Cl)cccc1C(=O)Nc1cc(NC(=O)C2CC2CO)ncc1F,10.329,0.484
3080,-9.08,COc1cc(Cl)ccc1C(=O)Nc1cc(NC(=O)C2CC(O)C2)ncc1F,-6.382,0.482
3081,-8.326,COc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3CO)c2)c1C,10.391,0.487
3082,-8.763,COc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3CO)c2)c1F,13.108,0.475
3083,-9.427,COc1ccc(C(=O)Nc2cc(NC(=O)C3CC(O)C3)ncc2F)c(Cl)c1,-0.944,0.486
3084,-9.648,Nc1ccc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3CO)ncc2F)c1,-6.023,0.47
3085,-8.118,O=C(Nc1ccnc(Nc2ccccn2)c1)c1ccccc1,14.356,0.438
3086,-8.288,O=C(Nc1ccnc(Nc2ccccc2)c1)c1ccccc1,8.801,0.438
3087,-8.081,NC(=O)c1ccc(Nc2cc(NC(=O)c3ccccc3)ccn2)nc1,12.918,0.467
3088,-8.097,O=C(Nc1ccnc(Nc2ccncc2)c1)c1c(F)ccc(F)c1Cl,-5.943,0.461
3089,-8.237,O=C(Nc1ccnc(Nc2cnccn2)c1)c1ccc(F)cc1Cl,8.055,0.445
3090,-9.092,O=C(Nc1cc(Nc2ccccn2)ncc1F)c1ccccc1Cl,-2.847,0.45
3091,-8.145,O=C(Nc1cc(Nc2ccncc2)ncc1F)c1cccc(Cl)c1,-2.337,0.454
3092,-8.253,Nc1cccc(C(=O)Nc2ccnc(Nc3cnccn3)c2)c1Cl,16.638,0.459
3093,-8.707,Nc1ccc(C(=O)Nc2ccnc(Nc3cnccn3)c2)c(Cl)c1,10.516,0.456
3094,-9.349,O=C(Nc1cc(Nc2ccccn2)ncc1F)c1c(F)cccc1Cl,-2.659,0.448
3095,-8.014,O=C(Nc1ccnc(Nc2ccccn2)c1)c1cccc(F)c1Cl,3.205,0.449
3096,-8.604,O=C(Nc1cc(Nc2ccncc2)ncc1F)c1cc(F)ccc1Cl,-11.37,0.457
3097,-8.377,Cc1ccc(C(=O)Nc2ccnc(Nc3ccncc3)c2)c(Cl)c1,10.525,0.462
3098,-8.376,Cc1c(Cl)cccc1C(=O)Nc1ccnc(Nc2ccc(C(N)=O)cn2)c1,9.387,0.489
3099,-8.314,CC(=O)Nc1cc(NC(=O)c2ccc(Cl)cc2F)ccn1,12.12,0.437
3100,-8.11,C=Cc1cc(Cl)c(C(=O)Nc2ccnc(Nc3ccncn3)c2)c(Cl)c1,4.005,0.477
3101,-8.106,CN(C)c1cnc(Nc2cc(NC(=O)c3ccc(Cl)cc3Cl)ccn2)cn1,10.774,0.501
3102,-8.677,O=C(Nc1ccnc(Nc2ccnc(CO)n2)c1)c1c(Cl)cc(Cl)cc1Cl,0.091,0.491
3103,-8.278,O=C(Nc1ccnc(Nc2ccncn2)c1)c1cccc(Cl)c1F,4.038,0.444
3104,-8.212,CC(=O)Nc1cc(NC(=O)c2cc(Cl)ccc2C)ccn1,8.769,0.438
3105,-8.245,Nc1cc(Cl)c(C(=O)Nc2ccnc(Nc3ncc(F)cc3F)c2)c(Cl)c1,8.325,0.471
3106,-8.046,Cc1cc(Nc2cc(NC(=O)c3c(Cl)cc(Cl)cc3Cl)ccn2)ncn1,0.897,0.472
3107,-8.093,O=C(Nc1ccnc(Nc2ccc(CO)cn2)c1)c1c(Cl)cc(Cl)cc1Cl,7.772,0.489
3108,-8.645,Cc1nccc(Nc2cc(NC(=O)c3c(Cl)cc(N)cc3Cl)ccn2)n1,-1.922,0.476
3109,-8.106,Cc1nccc(Nc2cc(NC(=O)c3ccc(Cl)cc3Cl)ccn2)n1,5.536,0.469
3110,-8.395,O=C(Nc1ccnc(Nc2ccccn2)c1)c1ccc(O)cc1Cl,6.889,0.456
3111,-8.224,CC(=O)Nc1cc(NC(=O)c2cccc(F)c2Cl)ccn1,1.97,0.437
3112,-8.354,O=C1CC(C(=O)Nc2cc(NC(=O)c3cccnc3)c(F)cn2)C1,3.72,0.449
3113,-8.862,O=C(Nc1ccnc(Nc2ccc(CO)cn2)c1)c1c(Cl)cc(CO)cc1Cl,10.559,0.503
3114,-9.292,O=C1CC(C(=O)Nc2cc(NC(=O)c3c(F)cccc3F)c(F)cn2)C1,-0.398,0.456
3115,-8.358,COc1ccnc(Nc2cc(NC(=O)c3cc(Cl)ccc3Cl)ccn2)c1,10.593,0.473
3116,-8.262,Cc1nccc(Nc2cc(NC(=O)c3cccc(Cl)c3)ccn2)n1,3.99,0.457
3117,-9.15,O=C(Nc1ccccn1)Nc1cc(NC(=O)c2ccc(Cl)cc2Cl)c(F)cn1,1.73,0.49
3118,-8.669,Nc1ccc(Cl)c(C(=O)Nc2ccnc(Nc3cccnn3)c2)c1,-1.119,0.454
3119,-8.031,O=C(Nc1ccnc(NC(=O)C(CO)CO)c1)c1ccc(Cl)cc1,16.76,0.465
3120,-8.384,CN(C)c1cnc(Nc2cc(NC(=O)c3c(Cl)cc(N)cc3Cl)ccn2)cn1,12.894,0.499
3121,-8.755,Nc1cccc(Nc2cc(NC(=O)c3ccc(F)cc3Cl)ccn2)n1,9.485,0.459
3122,-8.518,O=C(Nc1ccnc(Nc2cccnn2)c1)c1cc(F)ccc1Cl,-6.449,0.445
3123,-8.617,O=C(Nc1cc(NC(=O)c2ccccc2F)ccn1)NC1CC1,0.622,0.442
3124,-8.666,O=C(Nc1ccnc(Nc2ccccc2)c1)c1ccc(O)cc1Cl,4.386,0.462
3125,-8.476,Nc1cccc(C(=O)Nc2ccnc(NC(=O)NC3CC3)c2)c1,7.054,0.451
3126,-8.101,Cc1cc(C)nc(Nc2cc(NC(=O)c3cc(Cl)ccc3Cl)ccn2)n1,11.388,0.476
3127,-8.166,COc1cc(Cl)c(C(=O)Nc2ccnc(Nc3ncccn3)c2)c(Cl)c1,10.556,0.481
3128,-8.773,O=C(Nc1ccnc(Nc2cnccn2)c1)c1cc(O)ccc1Cl,6.412,0.459
3129,-8.575,CNC(=O)c1ccc(Nc2cc(NC(=O)c3ccc(Cl)cc3Cl)ccn2)nc1,5.841,0.503
3130,-8.12,CC(=O)Nc1cc(NC(=O)c2ccc(Cl)cc2C)ccn1,12.144,0.444
3131,-8.781,Nc1cccc(Nc2cc(NC(=O)c3cccc(Cl)c3F)ccn2)n1,7.013,0.46
3132,-8.202,Cc1cc(Cl)c(C(=O)Nc2ccnc(Nc3cccnn3)c2)c(Cl)c1,6.278,0.466
3133,-8.831,O=C(Nc1cccnc1)Nc1cc(NC(=O)c2ccc(F)cc2Cl)ccn1,-6.243,0.476
3134,-8.584,O=C(Nc1cc(NC(=O)C2CC2(F)F)ncc1F)c1ccccn1,1.664,0.436
3135,-8.445,CNC(=O)c1ccc(Nc2cc(NC(=O)c3cc(Cl)ccc3Cl)ccn2)nc1,-0.767,0.497
3136,-8.725,NC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2cc(F)ccc2F)c(F)cn1,0.424,0.467
3137,-8.219,Nc1ccccc1C(=O)Nc1ccnc(NC(=O)NC2CCC2)c1,15.07,0.46
3138,-8.323,COc1ccc(Nc2cc(NC(=O)c3cc(OC)ccc3Cl)ccn2)nc1,7.938,0.484
3139,-8.314,CC(=O)Nc1cc(NC(=O)c2cc(Cl)ccc2F)ccn1,7.217,0.434
3140,-8.137,O=C(Nc1cc(NC(=O)c2cccc(F)c2)ccn1)NC1CC1,1.088,0.442
3141,-8.204,O=C(Nc1ccnc(NC(=O)C(F)F)c1)c1ccc(F)cc1Cl,4.147,0.445
3142,-8.446,CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(Nc3ccncn3)c2)c(Cl)c1,7.448,0.504
3143,-8.875,Nc1cccc(Cl)c1C(=O)Nc1cc(Nc2ccncc2)ncc1F,-0.989,0.456
3144,-9.21,CNC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)c(F)cn1,-6.454,0.441
3145,-8.51,O=C(Nc1ccnc(Nc2ncccn2)c1)c1c(Cl)cc(CO)cc1Cl,17.268,0.481
3146,-8.651,Cc1ccc(Nc2cc(NC(=O)c3c(Cl)cc(N)cc3Cl)ccn2)nc1,5.442,0.476
3147,-8.983,O=C(Nc1ccccn1)Nc1cc(NC(=O)c2cccc(O)c2Cl)ccn1,7.02,0.484
3148,-9.265,O=C(Nc1cc(NC(=O)C2CC2F)ncc1F)c1ccc(F)cc1F,-0.679,0.452
3149,-8.563,COc1ccc(Cl)cc1C(=O)Nc1ccnc(Nc2ccccc2)c1,17.231,0.467
3150,-9.276,O=C(Nc1cc(NC(=O)C2COC2)ncc1F)c1c(F)cccc1F,1.221,0.444
3151,-8.018,Cc1ccc(Nc2cc(NC(=O)c3ccc(Cl)cc3Cl)ccn2)nc1,14.748,0.471
3152,-8.803,O=C(Nc1cc(NC(=O)C2CC2F)ncc1F)c1ccccn1,-1.4,0.433
3153,-8.382,COc1ccnc(Nc2cc(NC(=O)c3cc(OC)ccc3Cl)ccn2)c1,8.774,0.485
3154,-8.292,N#CCC(=O)Nc1cc(NC(=O)c2ccc(Cl)cc2)ccn1,10.389,0.44
3155,-8.341,CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(Nc3cccnn3)c2)c(Cl)c1,3.672,0.498
3156,-8.566,Nc1cc(Cl)c(C(=O)Nc2ccnc(Nc3ncco3)c2)c(Cl)c1,3.302,0.454
3157,-9.013,O=C(Nc1cc(NC(=O)c2c(F)cccc2F)ccn1)NC1CCC1,-4.897,0.456
3158,-8.216,O=C(Nc1cc(NC(=O)C2COC2)ncc1F)c1cccnc1,8.203,0.44
3159,-8.169,Cc1cc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)n[nH]1,-4.483,0.448
3160,-8.795,COCC(=O)Nc1cc(NC(=O)c2c(Cl)cc(NC(C)=O)cc2Cl)ccn1,6.534,0.503
3161,-8.722,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)CO)c2)c1,3.126,0.439
3162,-8.53,CN(C)C(=O)c1cncc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)n1,1.276,0.506
3163,-8.327,CC1CC1C(=O)Nc1cc(NC(=O)c2cccnc2)c(F)cn1,7.457,0.441
3164,-9.147,Nc1ccc(Cl)c(C(=O)Nc2ccnc(Nc3cc(CO)ccn3)c2)c1,3.452,0.467
3165,-8.419,Cc1cc(Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)nc(Cl)n1,-9.801,0.47
3166,-8.507,CSCC(=O)Nc1cc(NC(=O)c2c(Cl)cc(C)cc2Cl)ccn1,8.319,0.473
3167,-9.026,CC(C)c1cc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)nc(N)n1,-5.016,0.491
3168,-8.232,CSCC(=O)Nc1cc(NC(=O)c2c(Cl)cc(NC(C)=O)cc2Cl)ccn1,7.816,0.505
3169,-10.12,NC(=O)c1cccc(Nc2cc(NC(=O)c3cc(F)ccc3Cl)ccn2)n1,-4.757,0.475
3170,-9.282,Nc1cccc(C(=O)Nc2cc(NC(=O)C3CC3(F)F)ncc2F)c1F,15.436,0.448
3171,-8.943,O=C(Nc1cc(NC(=O)C2CCOC2)ncc1F)c1c(F)cccc1F,4.11,0.459
3172,-8.428,Cc1cnc(Nc2cc(NC(=O)c3c(N)cccc3Cl)ccn2)nc1,17.453,0.465
3173,-8.703,Nc1ccc(F)cc1C(=O)Nc1cc(NC(=O)C2CC2Cl)ncc1F,10.549,0.448
3174,-8.439,CN(C)c1cncc(Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)n1,-3.315,0.487
3175,-8.552,COc1cccc(Nc2cc(NC(=O)c3c(Cl)cc(N)cc3Cl)ccn2)n1,6.322,0.484
3176,-8.608,O=C(Nc1ccnc(Nc2cc(CO)ccn2)c1)c1c(Cl)cc(CF)cc1Cl,13.59,0.495
3177,-9.476,Nc1cccc(Nc2cc(NC(=O)c3cc(O)ccc3Cl)ccn2)n1,7.361,0.465
3178,-8.759,N#CCC(=O)Nc1cc(NC(=O)c2c(Cl)cc(C=O)cc2Cl)ccn1,2.336,0.467
3179,-8.311,CCOC(=O)Nc1cc(NC(=O)c2c(Cl)cc(OC)cc2Cl)ccn1,5.906,0.475
3180,-8.356,CN(C)c1ccc(Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)nc1,3.308,0.484
3181,-8.852,COc1cccc(Cl)c1C(=O)Nc1ccnc(Nc2cccc(N)n2)c1,10.369,0.475
3182,-8.985,Nc1cccc(C(=O)Nc2cc(NC(=O)C3CC3(F)F)ncc2F)c1,16.806,0.444
3183,-9.047,O=C(CCO)Nc1cc(NC(=O)c2cccc(Cl)c2Cl)ccn1,3.537,0.458
3184,-8.095,Nc1cccc(Cl)c1C(=O)Nc1ccnc(Nc2nccs2)c1,10.006,0.449
3185,-8.124,O=C(Nc1ccnc(Nc2ccncn2)c1)c1c(Cl)cccc1C(F)(F)F,5.388,0.468
3186,-8.407,Nc1cccc(Nc2cc(NC(=O)c3c(Cl)cccc3C(F)(F)F)ccn2)n1,11.622,0.477
3187,-8.442,Cc1cccc(Cl)c1C(=O)Nc1ccnc(Nc2ccc(CO)cn2)c1,3.985,0.474
3188,-9.075,Cc1cccc(Nc2cc(NC(=O)c3cc(N)ccc3Cl)ccn2)c1,-0.422,0.468
3189,-8.17,Cc1cncc(Nc2cc(NC(=O)c3cc(F)ccc3Cl)ccn2)n1,3.228,0.462
3190,-9.878,O=C(CCO)Nc1cc(NC(=O)c2c(Cl)cc(CO)cc2Cl)ccn1,6.067,0.475
3191,-8.681,Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C(CO)CO)c2)c(Cl)c1,15.446,0.484
3192,-8.705,Cc1coc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)n1,2.459,0.45
3193,-10.04,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)CCO)c2)c(Cl)c1,2.359,0.461
3194,-8.46,Cc1cccc(Cl)c1C(=O)Nc1ccnc(Nc2cccc(N(C)C)n2)c1,-0.086,0.49
3195,-8.754,Cc1cnc(Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)nc1,1.831,0.461
3196,-8.595,COc1ccc(Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)nc1,0.102,0.467
3197,-8.582,COc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)Nc2ccccn2)c1,10.449,0.493
3198,-8.935,CC(C)NC(=O)Nc1cc(NC(=O)c2cc(N)ccc2Cl)ccn1,-1.012,0.46
3199,-8.597,CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(Nc3cccc(C)n3)c2)c(Cl)c1,11.882,0.517
3200,-8.557,CC(C)CC(=O)Nc1cc(NC(=O)c2cc(F)ccc2Cl)ccn1,4.408,0.46
3201,-8.593,Cc1c(Cl)cccc1C(=O)Nc1ccnc(Nc2cc(CO)ccn2)c1,10.394,0.481
3202,-8.246,O=C(Cc1ccccc1)Nc1cc(NC(=O)c2ccc(Cl)cc2F)ccn1,14.649,0.483
3203,-8.351,Cc1cc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)no1,-10.157,0.451
3204,-8.676,COc1ccc(C(=O)Nc2ccnc(NC(=O)Nc3ccccn3)c2)c(Cl)c1,9.618,0.503
3205,-8.754,CCOC(=O)c1ccc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)nc1,-5.665,0.498
3206,-8.821,CN(C)C(=O)c1ccc(Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)nc1,-7.953,0.504
3207,-9.306,Nc1cccc(C(=O)Nc2cc(NC(=O)C3CC3F)ncc2F)c1,6.335,0.441
3208,-8.352,O=C(Cc1ccccc1)Nc1cc(NC(=O)c2cc(Cl)ccc2F)ccn1,8.816,0.477
3209,-8.578,O=C(CSC(F)F)Nc1cc(NC(=O)c2cc(Cl)ccc2Cl)ccn1,1.42,0.465
3210,-8.024,CC(C)NC(=O)Nc1cc(NC(=O)c2cccc(Cl)c2N)ccn1,15.236,0.466
3211,-8.234,CSCC(=O)Nc1cc(NC(=O)c2c(Cl)cc(C=O)cc2Cl)ccn1,5.525,0.474
3212,-8.814,O=C(Nc1ccnc(Nc2cncc(CO)n2)c1)c1cc(Cl)ccc1Cl,5.259,0.48
3213,-9.354,CC1CC1C(=O)Nc1cc(NC(=O)c2c(F)cccc2F)c(F)cn1,0.933,0.451
3214,-8.256,CCOC(=O)Nc1cc(NC(=O)c2c(Cl)cc(C)cc2Cl)ccn1,9.911,0.465
3215,-8.798,Cn1ccc(Nc2cc(NC(=O)c3c(Cl)cc(N)cc3Cl)ccn2)n1,4.993,0.472
3216,-9.248,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)CCO)c2)c(Cl)c1,7.739,0.471
3217,-8.689,CC(C)CC(=O)Nc1cc(NC(=O)c2cc(N)ccc2Cl)ccn1,4.473,0.462
3218,-9.013,CC(=O)Nc1ccc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)nc1C,-2.773,0.498
3219,-9.2,O=C(Nc1cc(NC(=O)c2c(Cl)cc(Cl)cc2Cl)c(F)cn1)NC1CCC1,2.778,0.483
3220,-8.565,COc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)CO)c2)c(Cl)c1,2.481,0.466
3221,-8.052,CCNC(=O)Nc1cc(NC(=O)c2cccc(Cl)c2N)ccn1,8.665,0.453
3222,-8.159,CN(C)c1nc(Cl)cc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)n1,-2.6,0.494
3223,-9.209,Nc1cccc(F)c1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,-1.345,0.446
3224,-8.157,CCNC(=O)Nc1cc(NC(=O)c2cc(N)ccc2Cl)ccn1,10.203,0.45
3225,-8.447,COCC(=O)Nc1cc(NC(=O)c2c(Cl)cc(OC)cc2Cl)ccn1,4.976,0.482
3226,-8.375,Cc1cccc(Nc2cc(NC(=O)c3cc(F)ccc3Cl)ccn2)n1,8.052,0.464
3227,-8.376,COc1cccc(Cl)c1C(=O)Nc1ccnc(Nc2ccc(C(N)=O)cn2)c1,4.116,0.492
3228,-9.372,O=C(Nc1cccnc1)Nc1cc(NC(=O)c2cc(O)ccc2Cl)ccn1,-6.52,0.478
3229,-9.168,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2c(F)cccc2F)c(F)cn1,2.457,0.46
3230,-8.887,COc1ccnc(Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)c1,1.783,0.472
3231,-9.703,Cc1cc(Cl)c(C(=O)Nc2ccnc(Nc3cccc(C(N)=O)n3)c2)c(Cl)c1,6.609,0.496
3232,-8.639,CNC(=O)c1ccc(Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)nc1,-7.294,0.492
3233,-8.993,N#CC1CC1C(=O)Nc1cc(NC(=O)c2ccccc2)c(F)cn1,4.254,0.446
3234,-9.164,Cc1cccc(C)c1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,15.109,0.46
3235,-8.488,O=C(Nc1ccnc(NC(=O)C2CCCO2)c1)c1cc(F)ccc1F,5.618,0.458
3236,-8.822,Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)CC#N)c2)c(Cl)c1,3.847,0.462
3237,-8.264,Cc1cnc(Nc2cc(NC(=O)c3cc(N)ccc3Cl)ccn2)cn1,8.191,0.464
3238,-8.206,C=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)OC)c2)c(Cl)c1,-0.45,0.466
3239,-8.335,O=C(Nc1cc(NC(=O)C2CCOC2)ncc1F)c1cccnc1,5.22,0.452
3240,-8.532,CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)NC(C)C)c2)c(Cl)c1,4.809,0.511
3241,-8.445,CCNC(=O)Nc1cc(NC(=O)c2c(Cl)cc(C(C)=O)cc2Cl)ccn1,7.287,0.491
3242,-8.393,COc1cc(Cl)ccc1C(=O)Nc1ccnc(NC(=O)Nc2ccccn2)c1,13.026,0.498
3243,-8.37,Cc1cnc(Nc2cc(NC(=O)c3cccc(Cl)c3C)ccn2)cn1,13.763,0.471
3244,-9.62,NC(=O)c1cccc(Nc2cc(NC(=O)c3c(Cl)cccc3Br)ccn2)n1,-6.544,0.482
3245,-8.897,O=C(Nc1ccnc(Nc2cccc(CO)n2)c1)c1cc(Cl)ccc1Cl,-0.744,0.474
3246,-8.394,Cc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)Nc2cccnc2)c1,-0.856,0.489
3247,-8.37,Cn1ccc(Nc2cc(NC(=O)c3ccc(Cl)cc3Cl)ccn2)n1,10.549,0.466
3248,-8.66,CC(C)NC(=O)Nc1cc(NC(=O)c2cc(F)ccc2Cl)ccn1,-6.09,0.456
3249,-8.155,CC(C)OC(=O)Nc1cc(NC(=O)c2c(Cl)cc(C=O)cc2Cl)ccn1,9.138,0.482
3250,-9.002,O=C(Nc1ccnc(Nc2cc(CO)ccn2)c1)c1cc(F)ccc1Cl,-3.569,0.467
3251,-9.042,Nc1c(F)cccc1C(=O)Nc1cc(NC(=O)C2CC2F)ncc1F,6.771,0.444
3252,-8.395,CCNC(=O)Nc1cc(NC(=O)c2c(Cl)cc(NC(C)=O)cc2Cl)ccn1,5.121,0.503
3253,-8.797,Nc1c(F)cccc1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,10.81,0.446
3254,-9.112,O=C(Nc1cccnc1)Nc1cc(NC(=O)c2c(Cl)cc(CO)cc2Cl)ccn1,-2.807,0.504
3255,-8.661,N#CC1CC1C(=O)Nc1cc(NC(=O)c2ccncc2)c(F)cn1,2.827,0.449
3256,-9.491,O=C(Nc1cc(NC(=O)C2CC(O)C2)ncc1F)c1cc(F)ccc1F,1.287,0.456
3257,-8.534,Cc1nc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)cc(N(C)C)n1,-0.156,0.494
3258,-8.861,Nc1cc(F)ccc1C(=O)Nc1cc(NC(=O)C2CC2Cl)ncc1F,11.835,0.454
3259,-8.792,O=C(CCO)Nc1cc(NC(=O)c2ccc(Cl)cc2Cl)ccn1,7.703,0.458
3260,-8.18,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2cccnc2)c(F)cn1,11.626,0.455
3261,-8.054,CNC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2ccncc2)c(F)cn1,7.3,0.49
3262,-8.212,CC(=O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)NC(C)C)c2)c(Cl)c1,16.351,0.498
3263,-8.134,COc1ccc(Nc2cc(NC(=O)c3c(N)cccc3Cl)ccn2)nc1,15.645,0.474
3264,-8.451,COCC(=O)Nc1cc(NC(=O)c2c(Cl)cc(C)cc2Cl)ccn1,12.379,0.467
3265,-8.094,Nc1c(Cl)cccc1C(=O)Nc1ccnc(Nc2cc(CO)ccn2)c1,12.917,0.475
3266,-8.888,O=C(CCO)Nc1cc(NC(=O)c2cccc(Cl)c2)ccn1,8.167,0.443
3267,-8.268,COCC(=O)Nc1cc(NC(=O)c2c(Cl)cc(C=O)cc2Cl)ccn1,7.414,0.469
